scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source,media_dispersal_air_land_aquatic_marine,media_migration_air_land_aquatic_marine,media_home range_air_land_aquatic_marine,Migration_km,geographic_range_km2,geographic unit source,IUCN
Megascops asio,megascopsasio,2.3,MG,Belthoff_Ritchison_1989,2.3,km (natal dispersal),0,CF,IUCN,not a migrant',NA,485100,MG,Belthoff_etal_1993,48.5,ha,0.166,EOL,sds,4,SDS,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,0,8220000,IUCN (estimated extent of occurrence),
Malurus splendens,malurussplendens,2.4,DM,Jenkins_et_al_2007,2400,m,0,CF,IUCN,not a migrant',NA,43000,SDS,Bowman_2003,4.3,ha,0.009,Box_etal_2010,sds,4,SDS,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,0,5350000,IUCN (estimated extent of occurrence),
Perisoreus canadensis,perisoreuscanadensis,11.3,DM,Jenkins_et_al_2007,11300,m,0,CF,IUCN,not a migrant',NA,870000,SDS,Bowman_2003,87,ha,0.0703,EOL,sds,4,CJL,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,,,,,0,16900000,IUCN (estimated extent of occurrence),
Strix nebulosa,strixnebulosa,50,DM,Jenkins_et_al_2007,50000,m,0,CF- migration not in IUCN,Cornell Birds of North America,0,NA,47800000,SDS,Bowman_2003,4780,ha,1.122,EOL,sds,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,0,44700000,IUCN (estimated extent of occurrence),
Tetrastes bonasia,tetrastesbonasia,5.7,DM,Jenkins_et_al_2007,5700,m,0,CF- not in IUCN,Avibase,sedentary,NA,120000,SDS,Bowman_2003,12,ha,0.429,EOL,sds,4,CJL,Herbivore,Herbivore,Pigot_etal_2020,,,,,,,0,30700000,IUCN (estimated extent of occurrence),
Panthera leo,pantheraleo,12.3,DM,Whitmee and Ormee 2012,12.3,linear km,0,CF- migration not in IUCN,Kittle_2016,inferred from map,NA,2.40E+08,MG,Gittleman_Harvey_1982,240,km2,155.8,Gittleman & Harvey (1982),sds,4,SDS,Carnivore,Carnivore,EOL,running,land,Hirt_etal,,,,0,,,
Leopardus pardalis,leoparduspardalis,9.9,DM,Whitmee and Ormee 2012,9.9,linear km,0,CF,IUCN,not a migrant',NA,1.61E+07,MG - value was 12460000,Gonzalez-Borrajo et al 2017,20.5,km2,9.98964,Tamburello_etal,sds,4,CJL,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,,,,0,,,
Peromyscus maniculatus,peromyscusmaniculatus,1.32,DM,Jenkins_et_al_2007,1320,m,0,DM - no comment on migration,IUCN,,NA,8100,CJL,Harestad and Bunnel 1979,0.81,ha,0.016,Harestad and Bunnel 1979,sds,4,SDS,Omnivore/Herbivore/Granivore,Omnivore,EOL,running,land,Hirt_etal,,,,0,20831240,IUCN (estimated extent of occurrence),
Picoides borealis,picoidesborealis,90,DM,Jenkins_et_al_2007,90000,m,0,DM,IUCN,not a migrant,NA,8.69E+05,CJL,Hooper_et_al_1982,86.9,ha,0.056,EOL,sds,4,MG,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,0,1630000,IUCN (estimated extent of occurrence),
Gymnorhinus cyanocephalus,gymnorhinuscyanocephalus,640,DM,Jenkins_et_al_2007,640000,m,0,DM,IUCN,not a migrant,NA,5.98E+07,CJL,Johnson_etal_2016,5978,ha,0.105,EOL,sds,4,SDS,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,,,,,0,2280000,IUCN (estimated extent of occurrence),
Caracal caracal,caracalcaracal,90,DM,Whitmee and Ormee 2012,90,linear km,0,DM,IUCN,not a migrant,NA,275760000,CJL,Kroshko et al. 2016,275.76,km2,12.9999,Tamburello_etal,sds,4,CJL,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,,,,0,51245224,IUCN (estimated extent of occurrence),
Mustela nivalis,mustelanivalis,6.64,DM,Prugh_etal,6.64,km,0,DM,IUCN,not a migrant,NA,67500,SDS,Lindstedt et al (1986),6.75,ha,0.0881,Tamburello_etal,sds,4,MG,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,,,,0,,,
Aquila adalberti,aquilaadalberti,430,DM,Jenkins_et_al_2007,430000,m,0,DM,IUCN,not a migrant,NA,1.20E+07,DM,Makarieva_etal_2005,1200,ha,3,Makarieva_etal_2005,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,0,204000,IUCN (estimated extent of occurrence),
Parabuteo unicinctus,parabuteounicinctus,160,DM,Jenkins_et_al_2007,160000,m,0,DM,IUCN,not a migrant,NA,3.90E+06,DM,makarieva_etal_2005,390,ha,0.73,makarieva_etal_2005,sds,4,MG,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,0,34100000,IUCN (estimated extent of occurrence),
Iguana iguana,iguanaiguana,1.41,DM,Jenkins_et_al_2007,1410,m,0,DM,IUCN,not a migrant,NA,4.37E+03,MG,Perry_Garland_2002,4.37E+03,m2,1.068414286,Perry_Garland_2002,sds,4,MG,Herbivore,Herbivore,Perry_Garland_2002,,,,,,,0,,,
Lagopus lagopus,lagopuslagopus,7.5,DM,Jenkins_et_al_2007,7500,m,0,DM,IUCN,not a migrant,NA,25899.9,SDS,Schoener_1968,6.4,acres,0.62,Schoener_1968,sds,4,SDS,Herbivore/Herbivore terrestrial,Herbivore,Pigot_etal_2020,,,,,,,0,3680000,IUCN (estimated extent of occurrence),
Poecile palustris,poecilepalustris,1.77,CJL,Sutherland_etal_2000,1.77 = weighted avg of males & females,km,0,DM,IUCN,not a migrant,NA,22662.4,SDS,Schoener_1968,5.6,acres,0.011,Schoener_1968,sds,4,,Omnivore/Invertivore,Omnivore,Pigot_etal_2020,,,,,,,0,30100000,IUCN (estimated extent of occurrence),
Aegithalos caudatus,aegithaloscaudatus,24.9,DM,Jenkins_et_al_2007,24900,m,0,DM,IUCN,not a migrant,NA,42000,DM,Tamburello_etal,42000,m2,0.008,Tamburello_etal,yes,4,CJL,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal,,,,0,44600000,IUCN (estimated extent of occurrence),
Lampropeltis triangulum,lampropeltistriangulum,0.5,DM,Jenkins_et_al_2007,500,m,0,DM,IUCN,not a migrant,NA,240400,DM,Tamburello_etal,240400,m2,0.165,Tamburello_etal,yes,4,CJL,Carnivore,Carnivore,Tamburello_etal,crawling - land,land,Tamburello_etal,,,,0,,,
Picus viridis,picusviridis,27.8,DM,Jenkins_et_al_2007,27800,m,0,DM,IUCN,not a migrant,NA,1850000,DM,Tamburello_etal,1850000,m2,0.18667,Tamburello_etal,yes,4,CJL,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal,,,,0,11800000,IUCN (estimated extent of occurrence),
Coluber constrictor,coluberconstrictor,2.29,DM,Jenkins_et_al_2007,2290,m,0,DM,IUCN,not a migrant,NA,151000,DM,Tamburello_etal,151000,m2,0.55615,Tamburello_etal,yes,4,CJL,Carnivore,Carnivore,Tamburello_etal,crawling - land,land,Tamburello_etal,,,,0,,,
Dicamptodon tenebrosus,dicamptodontenebrosus,0.06625,DM,Jenkins_et_al_2007,66.25,m,0,SDS,JOHNSTON_1999,not a migrant,NA,2978.58,CJL,Johnston_2002,2978.58 = average of column in Table 2,m2,0.06785,,sds,4,PLT,Carnivore,Carnivore,Animal_Diversity_Web,,,,,,,0,,,
Thomomys bottae,thomomysbottae,0.3,DM,Jenkins_et_al_2007,300,m,0,SDS,Jones_Baxter_2004,not a migrant,,71.14,DM,Tamburello_etal,71.14,m2,0.16018,Tamburello_etal,yes,4,CJL,Herbivore,Herbivore,Tamburello_etal,walking - land,land,Tamburello_etal,,,,0,3018235,IUCN (estimated extent of occurrence),
Carcharhinus limbatus,carcharhinuslimbatus,2146,DM,Jenkins_et_al_2007,2146000,m,2148,SDS,Keeney_et_al_2003,2.15E+03,km,9.77E+05,CJL - value was 8090000,Heupel_et_al_2004,weighted avg of inds from two years: ((33*0.7)+(41*1.2))/(33+41),km2,122.8,EOL,sds,4,,Carnivore,Carnivore,EOL,,,,,,,2148,,,
Sternotherus odoratus,sternotherusodoratus,0.011,DM,Jenkins_et_al_2007,11,m,0,SDS,King_Heatwolfe_1999,not a migrant,,28000,DM,Tamburello_etal,28000,m2,0.19,Tamburello_etal,sds,4,CJL,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,,,,0,,,
Nerodia erythrogaster,nerodiaerythrogaster,1,DM,Jenkins_et_al_2007,1000,m,0,SDS,Kingsbury_Copolla_2000,not a migrant,,131000,DM,Tamburello_etal,131000,m2,0.31324,Tamburello_etal,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal,crawling - land,land,Tamburello_etal,,,,0,,,
Nerodia sipeodon,nerodiasipeodon,0.006,DM,Jenkins_et_al_2007,6,m,0,SDS,Kingsbury_Copolla_2000,not a migrant,,40000,DM,Tamburello_etal,40000,m2,0.19055,Tamburello_etal,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal,crawling - land,land,Tamburello_etal,,,,0,,,
Pseudacris triseriata,pseudacristriseriata,0.213,DM,Jenkins_et_al_2007,213,m,0,SDS - changed source,Dinsmore_Swanson_2008,not a migrant,,2117,CJL,Kramer_1974,2117,m2,0.00552,EOL,sds,4,CF,Carnivore,Carnivore,EOL,,,,,,,0,,,
Riparia riparia,ripariariparia,144,DM,Jenkins_et_al_2007,144000,m,3454,SDS - changed source,La Sorte et al. 2013,3454,km,282743,CF,Alves_1994,300,metre (raduis),0.012,Hein_Gillooly_2011,sds,4,CF,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,3454,74400000,IUCN (estimated extent of occurrence),
Accipiter cooperii,accipitercooperii,35.2,DM,Jenkins_et_al_2007,35200,m,2500,SDS - was 700,Henney_1990,2500,,84646.0836,DM,Armstrong_1965,290.94,ha,0.47,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,2500,11800000,IUCN (estimated extent of occurrence),
Asio flammeus,asioflammeus,326.9,MG,Calladine_et_al_2012,Taken from pictured of breeding/natal areas,,4722,SDS - changed source,Johnson_etal_2017,,km,408.04,DM,Armstrong_1965,2.02E+01,ha,3.15E-01,Armstrong_1965,yes,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,4722,246000000,IUCN (estimated extent of occurrence),
Buteo lineatus,buteolineatus,24,DM,Jenkins_et_al_2007,24000,m,1000,SDS - changed source,Jacobs_Jacobs_2002,,km,4604.9796,DM,Armstrong_1965,67.86,ha,0.625,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,1000,9590000,IUCN (estimated extent of occurrence),
Buteo swainsoni,buteoswainsoni,320,DM,Jenkins_et_al_2007,320000,m,13504,SDS - changed source,Fuller_etal_1998,,km,182628.0225,DM,Armstrong_1965,427.35,ha,0.988,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,13504,5660000,IUCN (estimated extent of occurrence),
Chordeiles minor,chordeilesminor,0.05,SDS,Brigham_etal_2020,50,m,11000,SDS - changed source,Hein_Gillooly_2011,,km,108.16,DM,Armstrong_1965,10.4,ha,0.062,Hein_Gillooly_2011,sds,4,MG,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,11000,16600000,IUCN (estimated extent of occurrence),
Circus hudsonius,circushudsonius,0.6,DM,Jenkins_et_al_2007,600,m,2000,SDS - changed source,IUCN,2000,km,67750.8841,DM,Armstrong_1965,260.29,ha,0.521,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,2000,34800000,IUCN (estimated extent of occurrence),
Falco sparverius,falcosparverius,4.93,DM,Prugh_etal,4.93,km,6000,SDS - changed source,Hein_Gillooly_2011,,km,31201.6896,DM,Armstrong_1965,176.64,ha,0.114,Armstrong_1965,yes,4,,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,,,,,6000,52700000,IUCN (estimated extent of occurrence),
Haliaeetus leucocephalus,haliaeetusleucocephalus,69.2,CJL,Millsap_etal_2014,69.2,km,930,SDS - changed source,Laing_Bird_2005,,km,41330.89,DM,Armstrong_1965,203.3,ha,3.997,Armstrong_1965,yes,4,,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,,,,,930,23300000,IUCN (estimated extent of occurrence),
Falco columbarius,falcocolumbarius,81.1,DM,Jenkins_et_al_2007,81100,m,3400,SDS - changed source,Warkinstin_1990,,km,125663.7,CF- value was 21330000,Becker_Sieg_1987,200,metre (radius),0.195,EOL,sds,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,3400,103000000,IUCN (estimated extent of occurrence),
Falco peregrinus,falcoperegrinus,357,DM,Jenkins_et_al_2007,357000,m,8600,SDS - changed source,Hein_Gillooly_2011,,km,1.26E+07,SDS,Bowman_2003,1256,ha,0.7815,Tamburello_etal,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying,air,Hirt_etal,,,,8600,413000000,IUCN (estimated extent of occurrence),
Numenius phaeopus,numeniusphaeopus,1.63,DM,Jenkins_et_al_2007,1630,m,5000,SDS - changed source,Watts_etal_2008,,km,2.10E+05,SDS,Bowman_2003,21,ha,0.403,EOL,sds,4,CJL,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,flying,air,Hirt_etal,,,,5000,31100000,IUCN (estimated extent of occurrence),
Sayornis nigricans,sayornisnigricans,34.4,DM,Jenkins_et_al_2007,34400,m,100,SDS - changed source,IUCN,95,km,700,SDS,Bowman_2003,0.07,ha,0.022,EOL,sds,4,CJL,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,100,16700000,IUCN (estimated extent of occurrence),
Eudocimus albus,eudocimusalbus,100,DM,Jenkins_et_al_2007,100000,m,0,SDS - changed source,IUCN,355,km,12570000,SDS - ref and value wrong,Frederick_Ogden_1997,10,km,0.904,EOL,sds,4,MG,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,,,,,0,12900000,IUCN (estimated extent of occurrence),
Anas platyrhynchos,anasplatyrhynchos,19.9,DM,Prugh_etal,19.9,km,676,SDS - changed source,Soderquist_etal_2013,1233,km,2.25E+06,CJL - value was 4030000,Gilmer_et_al_1975,average of 210 & 240 (same sample size of males & females),ha,1.082,Owen_Cook_1977,sds,4,,Herbivore/Herbivore aquatic,Herbivore,Pigot_etal_2020,flying,air,Hirt_etal,,,,676,65800000,IUCN (estimated extent of occurrence),
Calidris mauri,calidrismauri,0.0875,CJL - changed value (wrong units),Sandercock et al. 2000,"87.5 - average of medians for males, females, and pairs in Fig 1",m,3200,SDS - changed source,Hein_Gillooly_2011,,km,706.8,SDS - value was 2000,Holmes_1973,15,m,0.047,Hein_Gillooy_2011,sds,4,PLT,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,,,,,3200,947000,IUCN (estimated extent of occurrence),
Anas crecca,anascrecca,0.5,SDS,Fox_1986,"500 - rough average of badly labelled figure, range 100 - 2000m ",m,5000,SDS - changed source,Hein_Gillooly_2011,,km,747500,SDS,Legagneux_etal,74.75,ha,0.35,Hein_Gillooly_2011,sds,4,MG,Herbivore/Herbivore aquatic,Herbivore,Pigot_etal_2020,,,,,,,5000,48200000,IUCN (estimated extent of occurrence),
Zenaida macroura,zenaidamacroura,4.8,DM,Jenkins_et_al_2007,4800,m,2900,SDS ,Baskett_etal_1993,5.33E+02,km,2.17E+06,"SDS - source right, but number was way off",Losito_Mirachi_1991,217,ha,0.119,Bestetal_1996,sds,4,MG,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,,,,,,2900,22400000,IUCN (estimated extent of occurrence),
Calcarius lapponicus,calcariuslapponicus,0.3985,CJL - changed value (wrong units),McLaughlin and Montgomerie 1985,398.5,m,6500,SDS - changed source,Hein_Gillooly_2011,,km,17600,CJL,Mace_Harvey_1983,1.76,ha,0.0286,Mace_Harvey_1983,sds,4,PLT,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,,,,,,6500,38900000,IUCN (estimated extent of occurrence),
Mimus polyglottos,mimuspolyglottos,45,MG,Tittler_2009,45,Km,0,SDS - changed source,ICUN,37,km,4000,CJL,Mace_Harvey_1983,0.4,ha,0.0501,Mace_Harvey_1983,sds,4,,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,,,,,0,19200000,IUCN (estimated extent of occurrence),
Thryomanes bewickii,thryomanesbewickii,0.73,DM,Prugh_etal,0.73,km,200,SDS - calculated from map,Sibley_2014,200,im,4800,CJL,Mace_Harvey_1983,0.48,ha,0.011,Mace_Harvey_1983,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,200,6480000,IUCN (estimated extent of occurrence),
Aegolius acadicus,aegoliusacadicus,9,CJL - changed value,Marks_et_al_2015,9,km,467,SDS - changed source,Priestley_etal_2010,4.16E+02,km,1.40E+06,DM,Makarieva_etal_2005,140,ha,0.085,Makarieva_etal_2005,yes,4,MG,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,467,18600000,IUCN (estimated extent of occurrence),
Aquila chrysaetos,aquilachrysaetos,55.3,DM,Murphy et al. 2018,55.3,km,2200,SDS - changed source,Brodeur_etal_1996,1.08E+03,,2.20E+07,DM,makarieva_etal_2005,2200,ha,1.6,makarieva_etal_2005,yes,4,PT,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying,air,Hirt_etal,,,,2200,139000000,IUCN (estimated extent of occurrence),
Asio otus,asiootus,161.6,DM,Jenkins_et_al_2007,161600,m,800,SDS - changed source,Holt_1997,6.50E+02,km,5.10E+06,DM,makarieva_etal_2005,510,ha,0.252,Tamburello_etal,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal,,,,800,80000000,IUCN (estimated extent of occurrence),
Buteo regalis,buteoregalis,592,DM,Watson et al. 2019,592,km,2376,SDS - changed source,Watson_etal_2018,1038,,1.20E+07,DM,makarieva_etal_2005,1200,ha,1.505,EOL,sds,4,PLT,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,2376,3320000,IUCN (estimated extent of occurrence),
Falco mexicanus,falcomexicanus,2.5,DM,Steenhof_et_al_2005,2.5,km,0,SDS - changed source,IUCN,248,km,2.60E+07,DM,makarieva_etal_2005,2600,ha,0.801,Armstrong_1965,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,0,4870000,IUCN (estimated extent of occurrence),
Athene cunicularia,athenecunicularia,30,DM,Jenkins_et_al_2007,30000,m,2735,SDS - changed source,Holroyd_etal_2010,1341,,10568.3,changed: this was an error- average max distance moved per day was 58.4m (value in spreadsheet was .058m2),Manning_Goldberg_2010,,,0.2024,Baladron_etal_2005,yes,4,MG,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,,,,,2735,39100000,IUCN (estimated extent of occurrence),
Dolichonyx oryzivorus,dolichonyxoryzivorus,1.522,SDS - changed value,Fajardo_etal_2009,1522,m,8057,SDS - changed source,La Sorte et al. 2013,,km,7450,"SDS changed from 7.85E5, averaged from male territory size",Martin&Gavin_1995,0.745,ha,0.042,Hein_Gillooly_2011,sds,4,,Omnivore/Granivore,Omnivore,Pigot_etal_2020,,,,,,,8057,1200000,IUCN (estimated extent of occurrence),
Hirundo rustica,hirundorustica,65,MG,Tittler_2009,65,Km,12000,SDS - changed source,Hein_Gillooly_2011,,km,7.85E+05,CF,Moller_1987,500,m radius,0.019,Hein_Gillooly_2011,sds,4,MG,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,12000,251000000,IUCN (estimated extent of occurrence),
Branta canadensis,brantacanadensis,30.5,DM,Jenkins_et_al_2007,30500,m,3500,SDS - changed source,Hein_Gillooly_2011,,km,8.96E+06,MG - value was 25000000,Giles_2010,895.9,from 214.2 to 263.6 ha for VHF-marked geese and 1190.2 to 1915.6 ha for PTT-marked geese,3.5,Fox_etal_1996,sds,4,,Herbivore/Herbivore terrestrial,Herbivore,Pigot_etal_2020,,,,,,,3500,12800000,IUCN (estimated extent of occurrence),
Calidris alpina,calidrisalpina,2.5,DM,Soikkeli_1970,,,4800,SDS - changed source,Wennerberg_2001,4113,,1.53E+07,MG,Choi_et_al_2014,15.33,km2,0.051,EOL,sds,4,,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,,,,,4800,3960000,IUCN (estimated extent of occurrence),
Charadrius vociferus,charadriusvociferus,1.639,CJL - changed source & value,Powers_1997,1639 = weighted avg of natal dispersal in Table 2,m,4348,SDS - changed source,La Sorte et al. 2013,,km,42150,MG - value was 4550,Plissner_et_al_2010,4.215,ha,0.095,Hein_Gillooly_2011,sds,4,,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,,,,,4348,26300000,IUCN (estimated extent of occurrence),
Grus americana,grusamericana,16.6,CJL - changed source & value,Johns_et_al_2005,16.6,km,4000,SDS - changed source,Hein_Gillooly_2011,,km,4100000,CF- was 4500000,ADW,4.1,,6.9,Hein_Gillooly_2011,sds,4,,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,,,,,4000,139000,IUCN (estimated extent of occurrence),
Grus canadensis,gruscanadensis,0.9,CJL,Hayes_2015,0.9,km,4000,SDS - changed source,Hein_Gillooly_2011,,km,13850000,MG - value was 10115000, IVEY et al 2014,2.1,km,4.4,Hein_Gillooly_2011,sds,4,,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,,,,,4000,4530000,IUCN (estimated extent of occurrence),
Junco hyemalis,juncohyemalis,1.003,CJL - changed source & value,Liebgold_etal_2019,1003 - used WebPlotDigitizer on Fig 4,m,4000,SDS - changed source,Hein_Gillooly_2011,,km,8330,MG - value was 15000,Reichard_Ketterson_2012,0.833,ha,0.022,Hein_Gillooly_2011,sds,4,,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,,,,,,4000,17900000,IUCN (estimated extent of occurrence),
Molothrus ater,molothrusater,10.43,DM,Prugh_etal,10.43,km,2000,SDS - changed source,Hein_Gillooly_2011,,km,164670000,MG - value was 55500,Goguen_et_al_2005,7.24,Km,0.044,Bestetal_1996,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,2000,15500000,IUCN (estimated extent of occurrence),
Arenaria interpres,arenariainterpres,3,MG,Pearce‐Higgins_2001,3,km,5700,SDS - changed source,Hein_Gillooly_2011,,km,328900,SDS 3.04 pairs / km,Nettleship_1973,0.3289,km2,0.14,Hein_Gillooly_2011,sds,4,CF,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,,,,,5700,177000,IUCN (estimated extent of occurrence),
Piranga olivacea,pirangaolivacea,25,MG,Tittler_2009,25,Km,5004,SDS - changed source,La Sorte et al. 2013,,km,6.70E+04,SDS,Rivera_et_al_2003,6.7,ha,0.029,Hein_Gillooly_2011,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,5004,4440000,IUCN (estimated extent of occurrence),
Progne subis,progne subis,336,DM,Jenkins_et_al_2007,336000,m,7600,SDS - changed source,Hein_Gillooly_2011,,km,19064472000,"CF- value was 77900000, changed to area from the given radius",Russell _1999,77.9,km,0.049,Hein_Gillooly_2011,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,7600,5890000,IUCN (estimated extent of occurrence),
Accipiter gentilis,accipitergentilis,1150,DM,Jenkins_et_al_2007,1150000,m,346,DM - changed source,Squires_etal_2020,3.46E+02,km,2.13E+06,SDS,Schoener_1968,525,acres,0.978,Tamburello_etal,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal,,,,346,115000000,IUCN (estimated extent of occurrence),
Accipiter striatus,accipiterstriatus,367.4,MG,Morrison and Baird 2016,367.4,Km,1500,SDS - changed source,Bildstein_etal_2020,1.50E+03,km,1.00E+06,SDS,Schoener_1968,246,acres,0.141,Tamburello_etal,sds,4,PT,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal,,,,1500,51200000,IUCN (estimated extent of occurrence),
Turdus migratorius,turdusmigratorius,40,MG,Farner_1945,25,miles,6400,SDS - changed source,Hein_Gillooly_2011,,km,1214.06,SDS,Schoener_1968,0.3,acres,0.077,Hein_Gillooly_2011,sds,4,,Omnivore/Invertivore,Omnivore,Pigot_etal_2020,,,,,,,6400,22700000,IUCN (estimated extent of occurrence),
Tachycineta bicolor,tachycinetabicolor,0.129,MG,Shutler_Clark_2003,129,m,5500,SDS - changed source,Hein_Gillooly_2011,,km,1370000,MG,Stapleton&Robertson_2006,661,m,0.02,Hein_Gillooly_2011,sds,4,CF,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,,,,,5500,8340000,IUCN (estimated extent of occurrence),
Actitis macularia,actitismacularia,146.7,DM,Jenkins_et_al_2007,146700,m,6700,SDS-changed source,Reed_etal_2013,great circle distance from map,km,50000,CJL,Swarth_1988,5,ha,0.04,Bestetal_1996,sds,4,CJL,Carnivore/aquatic predator,Carnivore,Pigot_etal_2020,,,,,,,6700,23400000,IUCN (estimated extent of occurrence),
Agelaius phoeniceus,agelaiusphoeniceus,32.1,DM,Prugh_etal,32.1,km,2500,SDS - changed source,Hein_Gillooly_2011,,km,9.31E+03,SDS,Odum_Keuntzler_1955,"mean(1.6, 1.1, 4.2)",acres,0.053,Bestetal_1996,sds,4,,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,,,,,,2500,18200000,IUCN (estimated extent of occurrence),
Vireo olivaceus,vireoolivaceus,95,MG,Tittler_2009,95,Km,5083,SDS - changed source,La Sorte et al. 2013,,km,7284.33,DM,Tamburello_etal,7284.33,m2,0.0176,Tamburello_etal,sds,4,,Omnivore/Invertivore,Omnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal,,,,5083,14500000,IUCN (estimated extent of occurrence),
Cygnus buccinator,cygnusbuccinator,128,DM,Jenkins_et_al_2007,128000,m,700,SDS- changed source,Mitchell_Eichholz_2020,7.00E+02,km,5.08E+05,CJL - value was 1000000,Travsky_Beauvais_2004,range = 1.5-100,ha,11.5,EOL,sds,4,MG,Herbivore/Herbivore aquatic,Herbivore,Pigot_etal_2020,,,,,,,700,4870000,IUCN (estimated extent of occurrence),
Corvus brachyrhynchos,corvusbrachyrhynchos,85,MG,Tittler_2009,85,Km,912,DM ,Verbeek_Caffrey_2020,9.12E+02,km,6.40E+06,CJL,Yaremych_etal_2004,6.4,km2,0.448,Bestetal_1996,sds,4,SDS,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,,,,,912,12600000,IUCN (estimated extent of occurrence),
Antechinus stuartii,antechinusstuartii,1.5,DM,Whitmee and Ormee 2012,1500,linear m,0,SDS,Lazenby-Cohen and Cockburn 1991,resident,,35000.16,DM,Tamburello_etal,35000.16,m2,0.0275,Tamburello_etal,yes,4,MG,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,,,,0,,,
