scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal_type,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet - fine scale,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Lagopus leucura,Lagopus leucura,29,DM,Jenkins_et_al_2007,max,29000,m,5.47,CJL - changed value,Hoffman_1975,weighted mean of age/sex classes: ((16*6.8)+(6.5*17)+(1.4*6)+(3.1*6))/(16+17+6+6),km,1.03E+04,MG - value was 2400000,Giesen_Braun_1992,1.03,Km2,0.516,Jenkins_etal_2007,sds,4,SDS,Herbivore/Herbivore terrestrial,Herbivore,Pigot_etal_2020,,land,Hill_2001,land,land,land,4550000,IUCN (estimated extent of occurrence),
Falco tinnunculus,falcotinnunculus,158.8,DM ,Jenkins_et_al_2007,max,158800,m,2125.3,CJL,Holte_etal_2016,mean of largest migratory distances reported for three adults,km,3.00E+06,DM,Makarieva_etal_2005,300,ha,0.2,Makarieva_etal_2005,yes,4,SDS,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,106000000,IUCN (estimated extent of occurrence),
Recurvirostra americana,recurvirostraamericana,19.4,DM,Jenkins_et_al_2007,max,19400,m,1703.2,CF,Horton_2018,1703.2,km,2.07E+07,SDS,Ackerman_etal_2007,207.3,ha,0.32,Jenkins_etal_2007,sds,4,CF,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,Hill_2001,air,air,air_land,8870000,IUCN (estimated extent of occurrence),
Bucephala albeola,bucephalaalbeola,4.5,DM,Jenkins_et_al_2007,max,4500,m,2110.2,CF,Horton_2018,2110.2,km,5.60E+03,SDS,Bowman_2003,0.56,ha,0.334,Jenkins_etal_2007,sds,4,CF,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,Hill_2001,air,air,land_aquatic_marine,11000000,IUCN (estimated extent of occurrence),
Passerculus sandwichensis,passerculussandwichensis,1.6,DM,Jenkins_et_al_2007,max,1600,m,2529.23,CF,Horton_2018,2529.23,km,1400,SDS,Bowman_2003,0.14,ha,0.02,Best_etal_1996,sds,4,SDS,Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,air,air,13400000,IUCN (estimated extent of occurrence),
Zonotrichia leucophrys,zonotrichialeucophrys,2.6,DM,Jenkins_et_al_2007,max,2600,m,2396.1,CF,Horton_2018,2396.1,km,1200,SDS,Bowman_2003,0.12,ha,0.028,Sibly_etal_2012,sds,4,CJL,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,air,air,10600000,IUCN (estimated extent of occurrence),
Aix sponsa,aixsponsa,3.8,DM,Jenkins_et_al_2007,max,3800,m,469.4,CF,Horton_2018,4.69E+02,km,3.67E+06,MG,Hartke _Hepp_2004,367,ha,0.658,Best_etal_1996,sds,4,PT,Omnivore/Herbivore,Omnivore,Pigot_etal_2020,,,Stewart_1958,air,air,air_land_aquatic,11200000,IUCN (estimated extent of occurrence),
Lanius ludovicianus,laniusludovicianus,79.7,DM,Jenkins_et_al_2007,max,79700,m,567.5,CF,Horton_2018,567.5,km,60000,DM,Makarieva_etal_2005,6,ha,0.0481,Tamburello_etal_2015,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,9930000,IUCN (estimated extent of occurrence),
Malurus splendens,malurussplendens,2.4,DM,Jenkins_et_al_2007,max,2400,m,0,CF,IUCN,not a migrant',NA,43000,SDS,Bowman_2003,4.3,ha,0.01,Jenkins_etal_2007,sds,4,SDS,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,,air,5350000,IUCN (estimated extent of occurrence),
Perisoreus canadensis,perisoreuscanadensis,11.3,DM,Jenkins_et_al_2007,max,11300,m,0,CF,IUCN,not a migrant',NA,870000,SDS,Bowman_2003,87,ha,0.071,Jenkins_etal_2007,sds,4,CJL,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,16900000,IUCN (estimated extent of occurrence),
Strix nebulosa,strixnebulosa,50,DM,Jenkins_et_al_2007,max,50000,m,0,CF- migration not in IUCN,Cornell Birds of North America,0,NA,47800000,SDS,Bowman_2003,4780,ha,1.16,Jenkins_etal_2007,sds,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,,air,44700000,IUCN (estimated extent of occurrence),
Tetrastes bonasia,tetrastesbonasia,5.7,DM,Jenkins_et_al_2007,max,5700,m,0,CF- not in IUCN,Avibase,sedentary,NA,120000,SDS,Bowman_2003,12,ha,0.429,Jenkins_etal_2007,sds,4,CJL,Herbivore,Herbivore,Pigot_etal_2020,,land,Rhim_2002,land,,land,30700000,IUCN (estimated extent of occurrence),
Peromyscus maniculatus,peromyscusmaniculatus,1.32,DM,Jenkins_et_al_2007,max,1320,m,0,DM - no comment on migration,IUCN,,NA,8100,CJL,Harestad_ Bunnel_1979,0.81,ha,0.016,Harestad_ Bunnel_1979,sds,4,SDS,Omnivore/Herbivore/Granivore,Omnivore,EOL,running,land,Hirt_etal,land,,land,20831240,IUCN (estimated extent of occurrence),
Picoides borealis,picoidesborealis,90,DM,Jenkins_et_al_2007,max,90000,m,0,DM,IUCN,not a migrant,NA,8.69E+05,CJL,Hooper_et_al_1982,86.9,ha,0.044,Jenkins_etal_2007,sds,4,MG,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,Hill_2001,air,,air,1630000,IUCN (estimated extent of occurrence),
Gymnorhinus cyanocephalus,gymnorhinuscyanocephalus,640,DM,Jenkins_et_al_2007,max,640000,m,0,DM,IUCN,not a migrant,NA,5.98E+07,CJL,Johnson_etal_2016,5978,ha,0.103,Jenkins_etal_2007,sds,4,SDS,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,2280000,IUCN (estimated extent of occurrence),
Aquila adalberti,aquilaadalberti,430,DM,Jenkins_et_al_2007,max,430000,m,0,DM,IUCN,not a migrant,NA,1.20E+07,DM,Makarieva_etal_2005,1200,ha,3,Makarieva_etal_2005,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,,air,204000,IUCN (estimated extent of occurrence),
Parabuteo unicinctus,parabuteounicinctus,160,DM,Jenkins_et_al_2007,max,160000,m,0,DM,IUCN,not a migrant,NA,3.90E+06,DM,Makarieva_etal_2005,390,ha,0.73,Makarieva_etal_2005,sds,4,MG,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,,air,34100000,IUCN (estimated extent of occurrence),
Iguana iguana,iguanaiguana,1.41,DM,Jenkins_et_al_2007,max,1410,m,0,DM,IUCN,not a migrant,NA,4.37E+03,MG,Perry_Garland_2002,4.37E+03,m2,1.068414286,Perry_Garland_2002,sds,4,MG,Herbivore,Herbivore,Perry_Garland_2002,,land,inferred,land,,land,,,
Lagopus lagopus,lagopuslagopus,7.5,DM,Jenkins_et_al_2007,max,7500,m,0,DM,IUCN,not a migrant,NA,25899.9,SDS,Schoener_1968,6.4,acres,0.62,Schoener_1968,sds,4,SDS,Herbivore/Herbivore terrestrial,Herbivore,Pigot_etal_2020,,land,Martin_1995,land,,land,3680000,IUCN (estimated extent of occurrence),
Aegithalos caudatus,aegithaloscaudatus,24.9,DM,Jenkins_et_al_2007,max,24900,m,0,DM,IUCN,not a migrant,NA,42000,DM,Tamburello_etal_2015,42000,m2,0.008,Tamburello_etal_2015,yes,4,CJL,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,,air,44600000,IUCN (estimated extent of occurrence),
Lampropeltis triangulum,lampropeltistriangulum,0.5,DM,Jenkins_et_al_2007,max,500,m,0,DM,IUCN,not a migrant,NA,240400,DM,Tamburello_etal_2015,240400,m2,0.165,Tamburello_etal_2015,yes,4,CJL,Carnivore,Carnivore,Tamburello_etal_2015,crawling - land,land,Tamburello_etal_2015,land,,land,,,
Picus viridis,picusviridis,27.8,DM,Jenkins_et_al_2007,max,27800,m,0,DM,IUCN,not a migrant,NA,1850000,DM,Tamburello_etal_2015,1850000,m2,0.18667,Tamburello_etal_2015,yes,4,CJL,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,,air,11800000,IUCN (estimated extent of occurrence),
Coluber constrictor,coluberconstrictor,2.29,DM,Jenkins_et_al_2007,max,2290,m,0,DM,IUCN,not a migrant,NA,151000,DM,Tamburello_etal_2015,151000,m2,0.55615,Tamburello_etal_2015,yes,4,CJL,Carnivore,Carnivore,Tamburello_etal_2015,crawling - land,land,Tamburello_etal_2015,land,,land,,,
Dicamptodon tenebrosus,dicamptodontenebrosus,0.06625,DM,Jenkins_et_al_2007,max,66.25,m,0.05,SDS-CF,JOHNSTON_1999,not a migrant,NA,2978.58,CJL,Johnston_Frid_2002,2978.58 = average of column in Table 2,m2,0.06765,Jenkins_etal_2007,sds,4,PLT,Carnivore,Carnivore,ADW,,land,Ashley-Ross_1994,land,land,land,,,
Thomomys bottae,thomomysbottae,0.3,DM,Jenkins_et_al_2007,max,300,m,0,SDS,Jones_Baxter_2004,not a migrant,,71.14,DM,Tamburello_etal_2015,71.14,m2,0.16018,Tamburello_etal_2015,yes,4,CJL,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,3018235,IUCN (estimated extent of occurrence),
Carcharhinus limbatus,carcharhinuslimbatus,2146,DM,Jenkins_et_al_2007,max,2146000,m,2148,SDS,Keeney_et_al_2003,2.15E+03,km,9.77E+05,CJL - value was 8090000,Heupel_et_al_2004,weighted avg of inds from two years: ((33*0.7)+(41*1.2))/(33+41),km2,25.258,Jenkins_etal_2007,sds,4,,Carnivore,Carnivore,ADW,,water,inferred,marine,marine,marine,,,
Sternotherus odoratus,sternotherusodoratus,0.011,DM,Jenkins_et_al_2007,max,11,m,0,SDS,King_Heatwolfe_1999,not a migrant,,28000,DM,Tamburello_etal_2015,28000,m2,0.19,Tamburello_etal_2015,sds,4,CJL,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,aquatic,,,
Nerodia erythrogaster,nerodiaerythrogaster,1,DM,Jenkins_et_al_2007,max,1000,m,0,SDS,Kingsbury_Copolla_2000,not a migrant,,131000,DM,Tamburello_etal_2015,131000,m2,0.31324,Tamburello_etal_2015,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal_2015,crawling - land,land,Tamburello_etal_2015,land_aquatic,,land_aquatic,,,
Nerodia sipeodon,nerodiasipeodon,0.006,DM,Jenkins_et_al_2007,max,6,m,0,SDS,Kingsbury_Copolla_2000,not a migrant,,40000,DM,Tamburello_etal_2015,40000,m2,0.19055,Tamburello_etal_2015,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal_2015,crawling - land,land,Tamburello_etal_2015,land_aquatic,,land_aquatic,,,
Pseudacris triseriata,pseudacristriseriata,0.213,DM,Jenkins_et_al_2007,max,213,m,0,SDS - changed source,Dinsmore_Swanson_2008,not a migrant,,2117,CJL,Kramer_1974,2117,m2,0.00179,Jenkins_etal_2007,sds,4,CF,Invertivore,Invertivore,ADW,,land,Whiting_2002,land,land,land,,,
Riparia riparia,ripariariparia,144,DM,Jenkins_et_al_2007,max,144000,m,3454,SDS - changed source,LaSorte_etal_2013,3454,km,282743,CF,Alves__Johnstone_1994,300,metre (raduis),0.012,Hein_etal_2012,sds,4,CF,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,74400000,IUCN (estimated extent of occurrence),
Accipiter cooperii,accipitercooperii,35.2,DM,Jenkins_et_al_2007,max,35200,m,2500,SDS - was 700,Henney_1990,2500,,84646.0836,DM,Armstrong_1965,290.94,ha,0.47,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,aor,11800000,IUCN (estimated extent of occurrence),
Buteo lineatus,buteolineatus,24,DM,Jenkins_et_al_2007,max,24000,m,1000,SDS - changed source,Jacobs_Jacobs_2002,,km,4604.9796,DM,Armstrong_1965,67.86,ha,0.625,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,9590000,IUCN (estimated extent of occurrence),
Buteo swainsoni,buteoswainsoni,320,DM,Jenkins_et_al_2007,max,320000,m,13504,SDS - changed source,Fuller_etal_1998,,km,182628.0225,DM,Armstrong_1965,427.35,ha,0.988,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,5660000,IUCN (estimated extent of occurrence),
Circus hudsonius,circushudsonius,0.6,DM,Jenkins_et_al_2007,max,600,m,2000,SDS - changed source,IUCN,2000,km,67750.8841,DM,Armstrong_1965,260.29,ha,0.521,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,34800000,IUCN (estimated extent of occurrence),
Falco columbarius,falcocolumbarius,81.1,DM,Jenkins_et_al_2007,max,81100,m,3400,SDS - changed source,Warkentin_1990,,km,125663.7,CF- value was 21330000,Becker_Sieg_1987,200,metre (radius),0.218,Jenkins_etal_2007,sds,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,103000000,IUCN (estimated extent of occurrence),
Falco peregrinus,falcoperegrinus,357,DM,Jenkins_et_al_2007,max,357000,m,8600,SDS - changed source,Hein_Gillooly_2011,,km,1.26E+07,SDS,Bowman_2003,1256,ha,0.7815,Tamburello_etal_2015,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying,air,Hirt_etal,air,air,air,413000000,IUCN (estimated extent of occurrence),
Numenius phaeopus,numeniusphaeopus,1.63,DM,Jenkins_et_al_2007,max,1630,m,5000,SDS - changed source,Watts_etal_2008,,km,2.10E+05,SDS,Bowman_2003,21,ha,0.4,Jenkins_etal_2007,sds,4,CJL,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,flying,air,Hirt_etal,air,air,air_land,31100000,IUCN (estimated extent of occurrence),
Sayornis nigricans,sayornisnigricans,34.4,DM,Jenkins_et_al_2007,max,34400,m,100,SDS - changed source,IUCN,95,km,700,SDS,Bowman_2003,0.07,ha,0.02,Jenkins_etal_2007,sds,4,CJL,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,16700000,IUCN (estimated extent of occurrence),
Eudocimus albus,eudocimusalbus,100,DM,Jenkins_et_al_2007,max,100000,m,0,SDS - changed source,IUCN,355,km,12570000,SDS - ref and value wrong,Frederick_Ogden_1997,10,km,1.04,Jenkins_etal_2007,sds,4,MG,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,Welch_2016,air,,air_land,12900000,IUCN (estimated extent of occurrence),
Zenaida macroura,zenaidamacroura,4.8,DM,Jenkins_et_al_2007,max,4800,m,2900,SDS ,Baskett_etal_1993,5.33E+02,km,2.17E+06,"SDS - source right, but number was way off",Losito_Mirachi_1991,217,ha,0.119,Best_etal_1996,sds,4,MG,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,air,inferred,air,air,air,22400000,IUCN (estimated extent of occurrence),
Asio otus,asiootus,161.6,DM,Jenkins_et_al_2007,max,161600,m,800,SDS - changed source,Holt_1997,6.50E+02,km,5.10E+06,DM,Makarieva_etal_2005,510,ha,0.252,Tamburello_etal_2015,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,80000000,IUCN (estimated extent of occurrence),
Athene cunicularia,athenecunicularia,30,DM,Jenkins_et_al_2007,max,30000,m,2735,SDS - changed source,Holroyd_etal_2010,1341,,10568.3,changed: this was an error- average max distance moved per day was 58.4m (value in spreadsheet was .058m2),Manning_Goldberg_2010,,,0.15,Jenkins_etal_2007,yes,4,MG,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,ADW,air,air,air_land,39100000,IUCN (estimated extent of occurrence),
Branta canadensis,brantacanadensis,30.5,DM,Jenkins_et_al_2007,max,30500,m,3500,SDS - changed source,Hein_Gillooly_2011,,km,8.96E+06,MG - value was 25000000,Giles_2010,895.9,from 214.2 to 263.6 ha for VHF-marked geese and 1190.2 to 1915.6 ha for PTT-marked geese,3.814,Jenkins_etal_2007,sds,4,,Herbivore/Herbivore terrestrial,Herbivore,Pigot_etal_2020,,,ADW,air,air,air_land,12800000,IUCN (estimated extent of occurrence),
Progne subis,progne subis,336,DM,Jenkins_et_al_2007,max,336000,m,7600,SDS - changed source,Hein_Gillooly_2011,,km,19064472000,"CF- value was 77900000, changed to area from the given radius",Russell _Gauthreaux_1999,77.9,km,0.049,Hein_etal_2012,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,5890000,IUCN (estimated extent of occurrence),
Accipiter gentilis,accipitergentilis,1150,DM,Jenkins_et_al_2007,max,1150000,m,346,DM - changed source,Squires_etal_2020,3.46E+02,km,2.13E+06,SDS,Schoener_1968,525,acres,0.978,Tamburello_etal_2015,sds,4,,Carnivore/Vertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,115000000,IUCN (estimated extent of occurrence),
Actitis macularia,actitismacularia,146.7,DM,Jenkins_et_al_2007,max,146700,m,6700,SDS-changed source,Reed_etal_2013,great circle distance from map,km,50000,CJL,Swarth_Mewaldt_1988,5,ha,0.04,Best_etal_1996,sds,4,CJL,Carnivore/aquatic predator,Carnivore,Pigot_etal_2020,,,ADW,air,air,air_land,23400000,IUCN (estimated extent of occurrence),
Cygnus buccinator,cygnusbuccinator,128,DM,Jenkins_et_al_2007,max,128000,m,700,SDS- changed source,Mitchell_Eichholz_2020,7.00E+02,km,5.08E+05,CJL - value was 1000000,Travsky_Beauvais_2004,range = 1.5-100,ha,11.4,Jenkins_etal_2007,sds,4,MG,Herbivore/Herbivore aquatic,Herbivore,Pigot_etal_2020,,,ADW,air,air,land_aquatic,4870000,IUCN (estimated extent of occurrence),
Mephitis mephitis,mephitismephitis,21.7,DM,Jenkins_et_al_2007,max,21700,m,0,CJL - changed source,Gonzales_1997,"""yearlong resident""",,40000,MG,Gittleman_Harvey_1982,0.04,km2,2.586,Harestad_ Bunnel_1979,sds,4,MG,Omnivore/Carnivore,Omnivore,EOL,running,air,Hirt_etal,land,,land,,,
Neovison vison,neovisonvison,45.1,DM,Jenkins_et_al_2007,max,45100,m,0,CJL - changed source,Eccles_etal_2020,"""non-migratory""",,2.70E+06,MG,Gittleman_Harvey_1982,2.7,km2,0.908,Harestad_ Bunnel_1979,,4,SDS,Omnivore/Carnivore,Carnivore,EOL,,,ADW,land,,land_aquatic,,,
Ambystoma californiense,ambystomacaliforniense,0.67,DM,Jenkins_et_al_2007,max,670,m,0.0359,CJL,Loredo_et_al_1996,35.9,m,7.07,MG,Loredo_etal_1996,1.5,m,0.0266,Jenkins_etal_2007,sds,4,MG,Invertivore,Invertivore,ADW,,land,ADW,land,land,land,,,
Procyon lotor,procyonlotor,265.5,DM,Jenkins_et_al_2007,max,265500,m,0,CJL - changed source,Gonzales_1997,"""permanent resident""",,3521000,SDS - was 2401000,Rees_etal_2008,352.1,ha,8,Swihart_etal_1988,sds,4,CF,Omnivore/Carnivore,Omnivore,EOL,running,land,Hirt_etal,land,,land,,,
Crotalus horridus,crotalushorridus,4.07,DM,Jenkins_et_al_2007,max,4070,m,4,CF,Macartney_et_al_1998,estimate,m,2579600,DM,Tamburello_etal_2015,2579600,m2,1.02,Tamburello_etal_2015,yes,4,CJL,Carnivore,Carnivore,Tamburello_etal_2015,crawling - land,land,Tamburello_etal_2015,inferred,,land,,,
Plethodon jordani,plethodonjordani,0.3,DM,Jenkins_et_al_2007,max,300,m,0,CF,Madison_1969,recapture from same area year round,NA,25,SDS,Madison_Shoop_1970,25,m2,0.00427,Jenkins_etal_2007,sds,4,MG,Omnivore/Herbivore/Invertivore,Invertivore,ADW,,land,ADW,land,,land,,,
Ambystoma maculatum,ambystomamaculatum,0.756,DM,Jenkins_et_al_2007,max,756,m,0.118,CF,Madison_1997,118,meters,12.57,MG - value was 9.83,Freda_1983,4,m wide (i.e. diameter),0.03537,Jenkins_etal_2007,sds,4,CJL,Invertivore,Invertivore,ADW,,land,ADW,land,land,land,2989000,IUCN (estimated extent of occurrence),
Natrix natrix,natrixnatrix,0.114,DM,Jenkins_et_al_2007,max,114,m,0.3,CF- changed source was 118000km from Madsen 1984,Reading_2009,estimated  shift of center of home range from maps- home ranages shift seasonally but still overlap somewhat,meters,99000,DM,Tamburello_etal_2015,99000,m2,0.0785,Tamburello_etal_2015,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal_2015,crawling - land,land,Tamburello_etal_2015,land,land,land,,,
Lacerta agilis,lacertaagilis,0.0563,DM,Jenkins_et_al_2007,max,56.3,m,0,MG,Madsen_etal_2000,,,384,MG,Perry_Garland_2002,384,m2,0.0314,Perry_Garland_2002,sds,4,SDS,Insectivore,Invertivore,Perry_Garland_2002,running,land,Hirt_etal,land,,land,,,
Gopherus polyphemus,gopheruspolyphemus,0.74,DM,Jenkins_et_al_2007,max,740,m,0.2,MG,McRae_et_al_1981,"The most significant aspect of autumn movements was the migration  adults to winter burrows (Fig. 4). In the Ford colony, five of seven tortoises located in the southern activity center during spring and summer moved ca. 200 m to the winter range after crossing an area too wet for burrowing.",,4500,MG - number was 2827.43,McRae_etal_1981,0.45,ha,0.335,Tamburello_etal_2015,sds,4,MG,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Carinascincus microlepidotus,carinascincusmicrolepidotus,0.0524,DM,Jenkins_et_al_2007,max,52.4,m,0,MG,Melville_Swain_1997,"At high altitudes lizards may be inactive for more than half the year. During this time they must survive on stored energy, particularly lip- ids, and these energy stores, built up over warmer months,  must be adequate for the duration of hibernation ",,12.1,MG,Perry_Garland_2002,12.1,m2,0.0042,Perry_Garland_2002,sds,4,SDS,Omnivore/herbivore/insectivore,Invertivore,Melville_Swain_1999,,land,reptile_database,land,,land,19327,IUCN (estimated extent of occurrence),
Cygnus olor,cygnusolor,114,DM,Jenkins_et_al_2007,max,114000,m,760,MG,Wieloch_1991,"Swans from the Baltic Republic of the USSR undertake the longest migrations (Kishchinski 1979). In severe winters some individuals have reached Britain. Currently,however, these birds are also tending to shorten the distance they migrate (Lipsberg et al. 1987).",,6.00E+04,Changed: this reference was movement over an entire season- the wanderings of the individuals that didn't migrate really far so I think a large over estimate (KovÃƒÂ¡cs et al 2018- 25800000000m2),Global Invasive Species Database,,,11.8,Jenkins_etal_2007,yes,4,MG,Herbivore/Herbivore aquatic,Herbivore,Pigot_etal_2020,,,ADW,air,air,land_aquatic_marine,22500000,IUCN (estimated extent of occurrence),
Erithacus rubecula,erithacusrubecula,79.8,DM,Jenkins_et_al_2007,max,78900,m,500,MG,Moller_etal_2004,1,in multiple of 500 km,3.72E-01,DM,Armstrong_1965,0.61,ha,0.018,Armstrong_1965,yes,4,SDS,Omnivore/Carnivore,Invertivore,Sibly_etal_2012,,air,inferred,air,air,air,23900000,IUCN (estimated extent of occurrence),
Sylvia atricapilla,sylviaatricapilla,117,DM,Jenkins_et_al_2007,max,117000,m,2500,MG,Moller_etal_2004,5,in multiple of 500 km,369300,CF- value was 48000,Assandri_etal_2017,36.93 ± 1.57,ha,0.0155,Moller_etal_2004,sds,4,DM,Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,air,air,27800000,IUCN (estimated extent of occurrence),
Corvus corone,corvuscorone,35.5,DM,Jenkins_et_al_2007,max,35500,m,0,MG,Moller_etal_2004,0,in multiple of 500 km,177205.5,CJL - value was 475,Baglione_etal_2002,475,m diameter,0.57,Moller_etal_2004,sds,4,CF,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,81600000,IUCN (estimated extent of occurrence),
Cyanistes caeruleus,cyanistescaeruleus,35.7,DM,Jenkins_et_al_2007,max,35700,m,0,MG,Moller_etal_2004,0,in multiple of 500 km,16000,SDS,Bowman_2003,1.6,ha,0.0133,Moller_etal_2004,sds,4,,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,,air,16600000,IUCN (estimated extent of occurrence),
Parus major,parusmajor,41.1,DM,Jenkins_et_al_2007,max,41100,m,0,MG,Moller_etal_2004,0,in multiple of 500 km,10000,SDS,Bowman_2003,1,ha,0.0197,armstrong_1965,sds,4,,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,,air,89800000,IUCN (estimated extent of occurrence),
Pica pica,picapica,44.3,DM,Jenkins_et_al_2007,max,44300,m,0,MG,Moller_etal_2004,0,in multiple of 500 km,15000,SDS,Bowman_2003,1.5,ha,0.189,Moller_etal_2004,sds,4,SDS,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,10000000,IUCN (estimated extent of occurrence),
Streptopelia decaocto,streptopeliadecaocto,59.9,DM,Jenkins_et_al_2007,max,59900,m,0,MG,Moller_etal_2004,0,in multiple of 500 km,106200,MG - value was 13.5,Eraud_etal_2011,10.66,ha,0.152,Moller_etal_2004,sds,4,MG,Omnivore/Herbivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,213000000,IUCN (estimated extent of occurrence),
Motacilla cinerea,motacillacinerea,85.6,DM,Jenkins_et_al_2007,max,85600,m,3000,MG,Moller_etal_2004,6,in multiple of 500 km,23000,SDS,Klemp_2004,2.3,ha,0.018,Moller_etal_2004,sds,4,SDS,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,60700000,IUCN (estimated extent of occurrence),
Emberiza citrinella,emberizacitrinella,36,DM,Jenkins_et_al_2007,max,36000,m,500,MG,Moller_etal_2004,1,in multiple of 500 km,40000,CF,Moller_1990,4,ha- estimated from a shitty graph,0.0265,Moller_etal_2004,sds,4,CF,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,air,inferred,air,air,air,21600000,IUCN (estimated extent of occurrence),
Alauda arvensis,alaudaarvensis,51.7,DM,Jenkins_et_al_2007,max,51700,m,1500,MG,Moller_etal_2004,3,in multiple of 500 km,29000,changed: was 2.8 which is almost the size in hectares presented in the paper,Poulsen_etal_1998,,,0.0427,Moller_etal_2004,yes,4,CJL,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,air,air,42900000,IUCN (estimated extent of occurrence),
Columba palumbus,columbapalumbus,150,DM,Jenkins_et_al_2007,max,150000,m,500,MG,Moller_etal_2004,1,in multiple of 500 km,2540000,DM,Tamburello_etal_2015,2540000,m2,0.49,Moller_etal_2004,sds,4,,Omnivore/Herbivore,Omnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,26800000,IUCN (estimated extent of occurrence),
Motacilla alba,motacillaalba,100,DM,Jenkins_et_al_2007,max,100000,m,2500,MG,Moller_etal_2004,5,in multiple of 500 km,785000,DM,Tamburello_etal_2015,785000,m2,0.02122,Tamburello_etal_2015,yes,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,37800000,IUCN (estimated extent of occurrence),
