scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Pipilo erythrophthalmus,pipiloerythrophthalmus,15,MG,Tittler_etal_2009,15,Km,569.8,CF,Horton_2018,569.8,km,7.31E+04,MG,Martin_2016,7.31,ha,0.041,Best_etal_1996,sds,4,SDS,Omnivore/Herbivore,Omnivore,Pigot_etal_2020,,,inferred,air,air,air,3510000,IUCN (estimated extent of occurrence),
Charadrius montanus,charadriusmontanus,3.5,DM - changed value,Skrade_Dinsmore_2010,3.5,km,1165.3,CF,Horton_2018,1165.3,km,566000,CJL,Plumb_et_al_2005,56.6,ha,0.0957,Sibly_etal_2012,sds,4,CJL,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,Woolley_2006,air,air,land_air,1580000,IUCN (estimated extent of occurrence),
Cardellina canadensis,cardellinacanadensis,0.5,DM - changed value,Ball_etal_2016,500,m,5217.1,CF alternative name: Wilsonia canadensis,Horton_2018,5217.1,km,10117.1,SDS,Schoener_1968,2.5,acres,0.0093,Schoener_1968,sds,4,SDS,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,5080000,IUCN (estimated extent of occurrence),
Setophaga pensylvanica,setophagapensylvanica,35,MG,Tittler_etal_2009,35,Km,3458.6,CF alternative name: Dendroica pensylvanica,Horton_2018,3458.6,km,6070.28,SDS,Schoener_1968,1.5,acres,0.0096,Schoener_1968,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,4500000,IUCN (estimated extent of occurrence),
Setophaga petechia,setophagapetechia,0.1195,DM,Cilimburg_et_al_2002,119.5,m,3740,CF alternative name: Dendroica petechia,Horton_2018,3740,km,1699.68,SDS,Schoener_1968,0.42,acres,0.0095,Schoener_1968,sds,4,MG,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,15700000,IUCN (estimated extent of occurrence),
Spizella passerina,spizellapasserina,40,MG,Tittler_etal_2009,40,Km,1839.1,CF,Horton_2018,1839.1,km,30756.1,SDS,Schoener_1968,7.6,acres,0.0142,Armstrong_1965,sds,4,,Omnivore,Omnivore,Pigot_etal_2020,,,inferred,air,air,air,9880000,IUCN (estimated extent of occurrence),
Sturnella magna,sturnellamagna,6,SDS,Kershner_etal_2004,6.6,km,359.4,CF,Horton_2018,359.4,km,30351.4,SDS,Schoener_1968,7.5,acres,0.089,Schoener_1968,sds,4,CF,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,20500000,IUCN (estimated extent of occurrence),
Sturnella neglecta,sturnellaneglecta,0.5,MG,Giovanni_2009,>0.5,Km for post-fledging dispersal,877.5,CF,Horton_2018,877.5,km,30351.4,SDS,Schoener_1968,7.5,acres,0.089,Schoener_1968,sds,4,CF,Omnivore/Invertivore,Omnivore,Pigot_etal_2020,,,inferred,air,air,air,7760000,IUCN (estimated extent of occurrence),
Troglodytes aedon,troglodytesaedon,75,MG,Tittler_etal_2009,75,Km,1142,CF,Horton_2018,1142,km,4046.86,SDS,Schoener_1968,1,acres,0.0112,Schoener_1968,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,49100000,IUCN (estimated extent of occurrence),
Troglodytes troglodytes,troglodytestroglodytes,8.9,MG,Paradis_1998 & Prugh_etal_2008,8.9,Km,1127.8,CF,Horton_2018,1127.8,km,10117.1,SDS,Schoener_1968,2.5,acres,0.0095,Schoener_1968,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,50800000,IUCN (estimated extent of occurrence),
Vireo bellii,vireobellii,4,SDS,Kus_et_al_2020,,,1537.3,CF,Horton_2018,1537.3,km,11735.9,SDS,Schoener_1968,2.9,acres,0.01,Schoener_1968,sds,4,CJL,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,1380000,IUCN (estimated extent of occurrence),
Vireo griseus,vireogriseus,55,MG,Tittler_etal_2009,55,Km,1122.6,CF,Horton_2018,1122.6,km,1335.463,SDS,Schoener_1968,0.33,acres,0.0114,Schoener_1968,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,6050000,IUCN (estimated extent of occurrence),
Megascops asio,megascopsasio,2.3,MG,Belthoff_Ritchison_1989,2.3,km (natal dispersal),0,CF,IUCN,not a migrant',NA,485100,MG,Belthoff_etal_1993,48.5,ha,0.2021,Smith_Wiemeyer_1992,sds,4,SDS,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,,air,8220000,IUCN (estimated extent of occurrence),
Malurus splendens,malurussplendens,2.4,DM,Jenkins_et_al_2007,2400,m,0,CF,IUCN,not a migrant',NA,43000,SDS,Bowman_2003,4.3,ha,0.01,Jenkins_etal_2007,sds,4,SDS,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,,air,5350000,IUCN (estimated extent of occurrence),
Perisoreus canadensis,perisoreuscanadensis,11.3,DM,Jenkins_et_al_2007,11300,m,0,CF,IUCN,not a migrant',NA,870000,SDS,Bowman_2003,87,ha,0.071,Jenkins_etal_2007,sds,4,CJL,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,inferred,air,,air,16900000,IUCN (estimated extent of occurrence),
Strix nebulosa,strixnebulosa,50,DM,Jenkins_et_al_2007,50000,m,0,CF- migration not in IUCN,Cornell Birds of North America,0,NA,47800000,SDS,Bowman_2003,4780,ha,1.16,Jenkins_etal_2007,sds,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,,air,44700000,IUCN (estimated extent of occurrence),
Tetrastes bonasia,tetrastesbonasia,5.7,DM,Jenkins_et_al_2007,5700,m,0,CF- not in IUCN,Avibase,sedentary,NA,120000,SDS,Bowman_2003,12,ha,0.429,Jenkins_etal_2007,sds,4,CJL,Herbivore,Herbivore,Pigot_etal_2020,,,Rhim_2002- rarely fly but can,land,,land,30700000,IUCN (estimated extent of occurrence),
Panthera leo,pantheraleo,12.3,DM,Whitmee_Orme_2013,12.3,linear km,0,CF- migration not in IUCN,Kittle_2016,inferred from map,NA,2.40E+08,MG,Gittleman_Harvey_1982,240,km2,155.8,Gittleman_Harvey_1982,sds,4,SDS,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,,land,,,
Leopardus pardalis,leoparduspardalis,9.9,DM,Whitmee_Orme_2013,9.9,linear km,0,CF,IUCN,not a migrant',NA,1.61E+07,MG - value was 12460000,Gonzalez-Borrajo et al 2017,20.5,km2,9.98964,Tamburello_etal_2015,sds,4,CJL,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land,,,
Peromyscus maniculatus,peromyscusmaniculatus,1.32,DM,Jenkins_et_al_2007,1320,m,0,DM - no comment on migration,IUCN,,NA,8100,CJL,Harestad and Bunnel 1979,0.81,ha,0.016,Harestad_ Bunnel_1979,sds,4,SDS,Omnivore/Herbivore/Granivore,Omnivore,EOL,running,land,Hirt_etal,land,,land,20831240,IUCN (estimated extent of occurrence),
Picoides borealis,picoidesborealis,90,DM,Jenkins_et_al_2007,90000,m,0,DM,IUCN,not a migrant,NA,8.69E+05,CJL,Hooper_et_al_1982,86.9,ha,0.044,Jenkins_etal_2007,sds,4,MG,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,ADW,air,,air,1630000,IUCN (estimated extent of occurrence),
Gymnorhinus cyanocephalus,gymnorhinuscyanocephalus,640,DM,Jenkins_et_al_2007,640000,m,0,DM,IUCN,not a migrant,NA,5.98E+07,CJL,Johnson_etal_2016,5978,ha,0.103,Jenkins_etal_2007,sds,4,SDS,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,inferred,air,,air,2280000,IUCN (estimated extent of occurrence),
Caracal caracal,caracalcaracal,90,DM,Whitmee_Orme_2013,90,linear km,0,DM,IUCN,not a migrant,NA,275760000,CJL,Kroshko et al. 2016,275.76,km2,12.9999,Tamburello_etal_2015,sds,4,CJL,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land,51245224,IUCN (estimated extent of occurrence),
Mustela nivalis,mustelanivalis,6.64,DM,Prugh_etal_2008,6.64,km,0,DM,IUCN,not a migrant,NA,67500,SDS,Lindstedt et al (1986),6.75,ha,0.0881,Tamburello_etal_2015,sds,4,MG,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land,,,
Aquila adalberti,aquilaadalberti,430,DM,Jenkins_et_al_2007,430000,m,0,DM,IUCN,not a migrant,NA,1.20E+07,DM,Makarieva_etal_2005,1200,ha,3,Makarieva_etal_2005,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,,air,204000,IUCN (estimated extent of occurrence),
Parabuteo unicinctus,parabuteounicinctus,160,DM,Jenkins_et_al_2007,160000,m,0,DM,IUCN,not a migrant,NA,3.90E+06,DM,makarieva_etal_2005,390,ha,0.73,Makarieva_etal_2005,sds,4,MG,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,,air,34100000,IUCN (estimated extent of occurrence),
Iguana iguana,iguanaiguana,1.41,DM,Jenkins_et_al_2007,1410,m,0,DM,IUCN,not a migrant,NA,4.37E+03,MG,Perry_Garland_2002,4.37E+03,m2,1.068414286,Perry_Garland_2002,sds,4,MG,Herbivore,Herbivore,Perry_Garland_2002,,,inferred,land,,land,,,
Lagopus lagopus,lagopuslagopus,7.5,DM,Jenkins_et_al_2007,7500,m,0,DM,IUCN,not a migrant,NA,25899.9,SDS,Schoener_1968,6.4,acres,0.62,Schoener_1968,sds,4,SDS,Herbivore/Herbivore terrestrial,Herbivore,Pigot_etal_2020,,,ADW,land,,land,3680000,IUCN (estimated extent of occurrence),
Poecile palustris,poecilepalustris,1.77,CJL,Sutherland_etal_2000,1.77 = weighted avg of males & females,km,0,DM,IUCN,not a migrant,NA,22662.4,SDS,Schoener_1968,5.6,acres,0.011,Schoener_1968,sds,4,,Omnivore/Invertivore,Omnivore,Pigot_etal_2020,,,inferred,air,,air,30100000,IUCN (estimated extent of occurrence),
Aegithalos caudatus,aegithaloscaudatus,24.9,DM,Jenkins_et_al_2007,24900,m,0,DM,IUCN,not a migrant,NA,42000,DM,Tamburello_etal,42000,m2,0.008,Tamburello_etal_2015,yes,4,CJL,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal,air,,air,44600000,IUCN (estimated extent of occurrence),
Lampropeltis triangulum,lampropeltistriangulum,0.5,DM,Jenkins_et_al_2007,500,m,0,DM,IUCN,not a migrant,NA,240400,DM,Tamburello_etal,240400,m2,0.165,Tamburello_etal_2015,yes,4,CJL,Carnivore,Carnivore,Tamburello_etal,crawling - land,land,Tamburello_etal,land,,land,,,
Picus viridis,picusviridis,27.8,DM,Jenkins_et_al_2007,27800,m,0,DM,IUCN,not a migrant,NA,1850000,DM,Tamburello_etal,1850000,m2,0.18667,Tamburello_etal_2015,yes,4,CJL,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal,air,,air,11800000,IUCN (estimated extent of occurrence),
Coluber constrictor,coluberconstrictor,2.29,DM,Jenkins_et_al_2007,2290,m,0,DM,IUCN,not a migrant,NA,151000,DM,Tamburello_etal,151000,m2,0.55615,Tamburello_etal_2015,yes,4,CJL,Carnivore,Carnivore,Tamburello_etal,crawling - land,land,Tamburello_etal,land,,land,,,
Dicamptodon tenebrosus,dicamptodontenebrosus,0.06625,DM,Jenkins_et_al_2007,66.25,m,0.05,SDS-CF,JOHNSTON_1999,not a migrant,NA,2978.58,CJL,Johnston_2002,2978.58 = average of column in Table 2,m2,0.06765,Jenkins_etal_2007,sds,4,PLT,Carnivore,Carnivore,Animal_Diversity_Web,,,ADW,land,land,land,,,
Thomomys bottae,thomomysbottae,0.3,DM,Jenkins_et_al_2007,300,m,0,SDS,Jones_Baxter_2004,not a migrant,,71.14,DM,Tamburello_etal,71.14,m2,0.16018,Tamburello_etal_2015,yes,4,CJL,Herbivore,Herbivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land,3018235,IUCN (estimated extent of occurrence),
Carcharhinus limbatus,carcharhinuslimbatus,2146,DM,Jenkins_et_al_2007,2146000,m,2148,SDS,Keeney_et_al_2003,2.15E+03,km,9.77E+05,CJL - value was 8090000,Heupel_et_al_2004,weighted avg of inds from two years: ((33*0.7)+(41*1.2))/(33+41),km2,25.258,Jenkins_etal_2007,sds,4,,Carnivore,Carnivore,EOL,,,inferred,marine,marine,marine,,,
Sternotherus odoratus,sternotherusodoratus,0.011,DM,Jenkins_et_al_2007,11,m,0,SDS,King_Heatwolfe_1999,not a migrant,,28000,DM,Tamburello_etal,28000,m2,0.19,Tamburello_etal_2015,sds,4,CJL,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal_ADW,land,,aquatic,,,
Nerodia erythrogaster,nerodiaerythrogaster,1,DM,Jenkins_et_al_2007,1000,m,0,SDS,Kingsbury_Copolla_2000,not a migrant,,131000,DM,Tamburello_etal,131000,m2,0.31324,Tamburello_etal_2015,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal,crawling - land,land,Tamburello_etal,land_aquatic,,land_aquatic,,,
Nerodia sipeodon,nerodiasipeodon,0.006,DM,Jenkins_et_al_2007,6,m,0,SDS,Kingsbury_Copolla_2000,not a migrant,,40000,DM,Tamburello_etal,40000,m2,0.19055,Tamburello_etal_2015,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal,crawling - land,land,Tamburello_etal,land_aquatic,,land_aquatic,,,
Pseudacris triseriata,pseudacristriseriata,0.213,DM,Jenkins_et_al_2007,213,m,0,SDS - changed source,Dinsmore_Swanson_2008,not a migrant,,2117,CJL,Kramer_1974,2117,m2,0.00179,Jenkins_etal_2007,sds,4,CF,Carnivore,Carnivore,EOL,,,ADW,land,land,land,,,
Riparia riparia,ripariariparia,144,DM,Jenkins_et_al_2007,144000,m,3454,SDS - changed source,La Sorte et al. 2013,3454,km,282743,CF,Alves_1994,300,metre (raduis),0.012,Hein_etal_2012,sds,4,CF,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,74400000,IUCN (estimated extent of occurrence),
Accipiter cooperii,accipitercooperii,35.2,DM,Jenkins_et_al_2007,35200,m,2500,SDS - was 700,Henney_1990,2500,,84646.0836,DM,Armstrong_1965,290.94,ha,0.47,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,aor,11800000,IUCN (estimated extent of occurrence),
Asio flammeus,asioflammeus,326.9,MG,Calladine_et_al_2012,Taken from pictured of breeding/natal areas,,4722,SDS - changed source,Johnson_etal_2017,,km,408.04,DM,Armstrong_1965,2.02E+01,ha,3.15E-01,Armstrong_1965,yes,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,ADW,air,air,air,246000000,IUCN (estimated extent of occurrence),
Buteo lineatus,buteolineatus,24,DM,Jenkins_et_al_2007,24000,m,1000,SDS - changed source,Jacobs_Jacobs_2002,,km,4604.9796,DM,Armstrong_1965,67.86,ha,0.625,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,9590000,IUCN (estimated extent of occurrence),
Buteo swainsoni,buteoswainsoni,320,DM,Jenkins_et_al_2007,320000,m,13504,SDS - changed source,Fuller_etal_1998,,km,182628.0225,DM,Armstrong_1965,427.35,ha,0.988,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,5660000,IUCN (estimated extent of occurrence),
Chordeiles minor,chordeilesminor,0.05,SDS,Brigham_etal_2011,50,m,11000,SDS - changed source,Hein_Gillooly_2011,,km,108.16,DM,Armstrong_1965,10.4,ha,0.062,Hein_etal_2012,sds,4,MG,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,16600000,IUCN (estimated extent of occurrence),
Circus hudsonius,circushudsonius,0.6,DM,Jenkins_et_al_2007,600,m,2000,SDS - changed source,IUCN,2000,km,67750.8841,DM,Armstrong_1965,260.29,ha,0.521,Armstrong_1965,yes,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,34800000,IUCN (estimated extent of occurrence),
Falco sparverius,falcosparverius,4.93,DM,Prugh_etal_2008,4.93,km,6000,SDS - changed source,Hein_Gillooly_2011,,km,31201.6896,DM,Armstrong_1965,176.64,ha,0.114,Armstrong_1965,yes,4,,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,inferred,air,air,air,52700000,IUCN (estimated extent of occurrence),
Haliaeetus leucocephalus,haliaeetusleucocephalus,69.2,CJL,Millsap_etal_2014,69.2,km,930,SDS - changed source,Laing_Bird_2005,,km,41330.89,DM,Armstrong_1965,203.3,ha,3.997,Armstrong_1965,yes,4,,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,inferred,air,air,air,23300000,IUCN (estimated extent of occurrence),
Falco columbarius,falcocolumbarius,81.1,DM,Jenkins_et_al_2007,81100,m,3400,SDS - changed source,Warkinstin_1990,,km,125663.7,CF- value was 21330000,Becker_Sieg_1987,200,metre (radius),0.218,Jenkins_etal_2007,sds,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,103000000,IUCN (estimated extent of occurrence),
Falco peregrinus,falcoperegrinus,357,DM,Jenkins_et_al_2007,357000,m,8600,SDS - changed source,Hein_Gillooly_2011,,km,1.26E+07,SDS,Bowman_2003,1256,ha,0.7815,Tamburello_etal_2015,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying,air,Hirt_etal,air,air,air,413000000,IUCN (estimated extent of occurrence),
Numenius phaeopus,numeniusphaeopus,1.63,DM,Jenkins_et_al_2007,1630,m,5000,SDS - changed source,Watts_etal_2008,,km,2.10E+05,SDS,Bowman_2003,21,ha,0.4,Jenkins_etal_2007,sds,4,CJL,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,flying,air,Hirt_etal_Bowman,air,air,air_land,31100000,IUCN (estimated extent of occurrence),
Sayornis nigricans,sayornisnigricans,34.4,DM,Jenkins_et_al_2007,34400,m,100,SDS - changed source,IUCN,95,km,700,SDS,Bowman_2003,0.07,ha,0.02,Jenkins_etal_2007,sds,4,CJL,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,16700000,IUCN (estimated extent of occurrence),
Eudocimus albus,eudocimusalbus,100,DM,Jenkins_et_al_2007,100000,m,0,SDS - changed source,IUCN,355,km,12570000,SDS - ref and value wrong,Frederick_Ogden_1997,10,km,1.04,Jenkins_etal_2007,sds,4,MG,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,ADW,air,,air_land,12900000,IUCN (estimated extent of occurrence),
Anas platyrhynchos,anasplatyrhynchos,19.9,DM,Prugh_etal_2008,19.9,km,676,SDS - changed source,Soderquist_etal_2013,1233,km,2.25E+06,CJL - value was 4030000,Gilmer_et_al_1975,average of 210 & 240 (same sample size of males & females),ha,1.082,Jenkins_etal_2007,sds,4,,Herbivore/Herbivore aquatic,Herbivore,Pigot_etal_2020,flying,air,Hirt_etal,air,air,air_aquatic,65800000,IUCN (estimated extent of occurrence),
Calidris mauri,calidrismauri,0.0875,CJL - changed value (wrong units),Sandercock_etal_2000,"87.5 - average of medians for males, females, and pairs in Fig 1",m,3200,SDS - changed source,Hein_Gillooly_2011,,km,706.8,SDS - value was 2000,Holmes_1973,15,m,0.047,Hein_etal_2012,sds,4,PLT,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,ADW,air,air,air_land,947000,IUCN (estimated extent of occurrence),
Anas crecca,anascrecca,0.5,SDS,Fox_1986,"500 - rough average of badly labelled figure, range 100 - 2000m ",m,5000,SDS - changed source,Hein_Gillooly_2011,,km,747500,SDS,Legagneux_etal,74.75,ha,0.35,Hein_etal_2012,sds,4,MG,Herbivore/Herbivore aquatic,Herbivore,Pigot_etal_2020,,,Legagneux_2008,air,air,air_land_aquatic,48200000,IUCN (estimated extent of occurrence),
Zenaida macroura,zenaidamacroura,4.8,DM,Jenkins_et_al_2007,4800,m,2900,SDS ,Baskett_etal_1993,5.33E+02,km,2.17E+06,"SDS - source right, but number was way off",Losito_Mirachi_1991,217,ha,0.119,Best_etal_1996,sds,4,MG,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,,inferred,air,air,air,22400000,IUCN (estimated extent of occurrence),
Calcarius lapponicus,calcariuslapponicus,0.3985,CJL - changed value (wrong units),McLaughlin_Montgomerie_1985,398.5,m,6500,SDS - changed source,Hein_Gillooly_2011,,km,17600,CJL,Mace_Harvey_1983,1.76,ha,0.0286,Mace_Harvey_1983,sds,4,PLT,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,,inferred,air,air,air,38900000,IUCN (estimated extent of occurrence),
Mimus polyglottos,mimuspolyglottos,45,MG,Tittler_etal_2009,45,Km,0,SDS - changed source,ICUN,37,km,4000,CJL,Mace_Harvey_1983,0.4,ha,0.0501,Mace_Harvey_1983,sds,4,,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,inferred,air,,air,19200000,IUCN (estimated extent of occurrence),
Thryomanes bewickii,thryomanesbewickii,0.73,DM,Prugh_etal_2008,0.73,km,200,SDS - calculated from map,Sibley_2014,200,im,4800,CJL,Mace_Harvey_1983,0.48,ha,0.011,Mace_Harvey_1983,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,6480000,IUCN (estimated extent of occurrence),
Aegolius acadicus,aegoliusacadicus,9,CJL - changed value,Marks_et_al_2015,9,km,467,SDS - changed source,Priestley_etal_2010,4.16E+02,km,1.40E+06,DM,Makarieva_etal_2005,140,ha,0.085,Makarieva_etal_2005,yes,4,MG,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,18600000,IUCN (estimated extent of occurrence),
Aquila chrysaetos,aquilachrysaetos,55.3,DM,Murphy_etal_2019,55.3,km,2200,SDS - changed source,Brodeur_etal_1996,1.08E+03,,2.20E+07,DM,makarieva_etal_2005,2200,ha,1.6,Makarieva_etal_2005,yes,4,PT,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying,air,Hirt_etal,air,air,air,139000000,IUCN (estimated extent of occurrence),
Asio otus,asiootus,161.6,DM,Jenkins_et_al_2007,161600,m,800,SDS - changed source,Holt_1997,6.50E+02,km,5.10E+06,DM,makarieva_etal_2005,510,ha,0.252,Tamburello_etal_2015,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal,air,air,air,80000000,IUCN (estimated extent of occurrence),
Buteo regalis,buteoregalis,592,DM,Watson_etal_2019,592,km,2376,SDS - changed source,Watson_etal_2018,1038,,1.20E+07,DM,makarieva_etal_2005,1200,ha,1.776,Ng_etal_2020,sds,4,PLT,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,3320000,IUCN (estimated extent of occurrence),
Falco mexicanus,falcomexicanus,2.5,DM,Steenhof_et_al_2005,2.5,km,0,SDS - changed source,IUCN,248,km,2.60E+07,DM,makarieva_etal_2005,2600,ha,0.801,Armstrong_1965,sds,4,,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,,air,4870000,IUCN (estimated extent of occurrence),
Athene cunicularia,athenecunicularia,30,DM,Jenkins_et_al_2007,30000,m,2735,SDS - changed source,Holroyd_etal_2010,1341,,10568.3,changed: this was an error- average max distance moved per day was 58.4m (value in spreadsheet was .058m2),Manning_Goldberg_2010,,,0.15,Jenkins_etal_2007,yes,4,MG,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,ADW,air,air,air_land,39100000,IUCN (estimated extent of occurrence),
Dolichonyx oryzivorus,dolichonyxoryzivorus,1.522,SDS - changed value,Fajardo_etal_2009,1522,m,8057,SDS - changed source,La Sorte et al. 2013,,km,7450,"SDS changed from 7.85E5, averaged from male territory size",Martin&Gavin_1995,0.745,ha,0.042,Hein_etal_2012,sds,4,,Omnivore/Granivore,Omnivore,Pigot_etal_2020,,,ADW,air,air,air_land,1200000,IUCN (estimated extent of occurrence),
Hirundo rustica,hirundorustica,65,MG,Tittler_etal_2009,65,Km,12000,SDS - changed source,Hein_Gillooly_2011,,km,7.85E+05,CF,Moller_1987,500,m radius,0.019,Hein_etal_2012,sds,4,MG,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,251000000,IUCN (estimated extent of occurrence),
Branta canadensis,brantacanadensis,30.5,DM,Jenkins_et_al_2007,30500,m,3500,SDS - changed source,Hein_Gillooly_2011,,km,8.96E+06,MG - value was 25000000,Giles_2010,895.9,from 214.2 to 263.6 ha for VHF-marked geese and 1190.2 to 1915.6 ha for PTT-marked geese,3.814,Jenkins_etal_2007,sds,4,,Herbivore/Herbivore terrestrial,Herbivore,Pigot_etal_2020,,,ADW,air,air,air_land,12800000,IUCN (estimated extent of occurrence),
Calidris alpina,calidrisalpina,2.5,DM,Soikkeli_1970,,,4800,SDS - changed source,Wennerberg_2001,4113,,1.53E+07,MG,Choi_et_al_2014,15.33,km2,0.052,Sibly_etal_2012,sds,4,,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,ADW,air,air,air_land,3960000,IUCN (estimated extent of occurrence),
Charadrius vociferus,charadriusvociferus,1.639,CJL - changed source & value,Powers_1997,1639 = weighted avg of natal dispersal in Table 2,m,4348,SDS - changed source,La Sorte et al. 2013,,km,42150,MG - value was 4550,Plissner_et_al_2010,4.215,ha,0.095,Hein_etal_2012,sds,4,,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,ADW,air,air,air_land,26300000,IUCN (estimated extent of occurrence),
Grus americana,grusamericana,16.6,CJL - changed source & value,Johns_et_al_2005,16.6,km,4000,SDS - changed source,Hein_Gillooly_2011,,km,4100000,CF- was 4500000,ADW,4.1,,6.9,Hein_etal_2012,sds,4,,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,ADW,air,air,air_land,139000,IUCN (estimated extent of occurrence),
Grus canadensis,gruscanadensis,0.9,CJL,Hayes_2015,0.9,km,4000,SDS - changed source,Hein_Gillooly_2011,,km,13850000,MG - value was 10115000, IVEY et al 2014,2.1,km,4.4,Hein_etal_2012,sds,4,,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,ADW,air,air,air_land,4530000,IUCN (estimated extent of occurrence),
Junco hyemalis,juncohyemalis,1.003,CJL - changed source & value,Liebgold_etal_2019,1003 - used WebPlotDigitizer on Fig 4,m,4000,SDS - changed source,Hein_Gillooly_2011,,km,8330,MG - value was 15000,Reichard_Ketterson_2012,0.833,ha,0.022,Hein_etal_2012,sds,4,,Herbivore/Granivore,Herbivore,Pigot_etal_2020,,,inferred,air,air,air,17900000,IUCN (estimated extent of occurrence),
Molothrus ater,molothrusater,10.43,DM,Prugh_etal_2008,10.43,km,2000,SDS - changed source,Hein_Gillooly_2011,,km,164670000,MG - value was 55500,Goguen_et_al_2005,7.24,Km,0.044,Best_etal_1996,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,15500000,IUCN (estimated extent of occurrence),
