"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius"
"74","Capreolus pygargus","capreoluspygargus",120,"MG","Mysterud_1999","120","Km",500,"CJL","Hein_Gillooly_2011","500","km",1e+06,"MG","Pantheria","0.99","km2",40,"Hein_Gillooly_2011","",4,"","Grazer/Browser/Folivore","EOL","running","Hirt_etal","","",NA,1,0.564189583547756
"75","Ovibos moschatus","ovibosmoschatus",5,"SDS","Forschammer_1995","","",320,"CJL","Hein_Gillooly_2011","320","km",25500000,"SDS","Reynolds_1992","25.5","km2",480,"Hein_Gillooly_2011","",4,"","Herbivore/Grazer/Browser","EOL","running","Hirt_etal","","",NA,25.5,2.8490177426065
"76","Lemmus sibiricus","lemmussibiricus",0.25,"SDS","Rodgers_1990","","",5.4,"CJL","Hein_Gillooly_2011","5.4","km",18080,"SDS","Rodgers&Lewis_1986","1.808","ha",0.09214,"Tamburello_etal","sds",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","11322468","IUCN (estimated extent of occurrence)",NA,0.01808,0.0758619980108811
"77","Isurus oxyrinchus","isurusoxyrinchus",4543,"DM","Jenkins_et_al_2007","4543000","m",2400,"CJL","Hein_Gillooly_2011","2400","km",1.04e+09,"SDS - avg of daily movements table","Rogers_et_al_2015","36.39","km",58,"Hein_Gillooly_2011","",4,"MG","Carnivore","EOL","swimming","Hirt_etal","","",NA,1040,18.1945673658689
"78","Setophaga kirtlandii","setophagakirtlandii",2.2,"CJL - changed value","Berger_Radabaugh_1968","weighted average of return distances on pages 172 & 174","yards and miles",1900,"CJL","Hein_Gillooly_2011","1900","km",33993.6,"SDS","Schoener_1968","8.4","acres",0.014,"Schoener_1968","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","237000","IUCN (estimated extent of occurrence)",NA,0.0339936,0.104021627304024
"79","Ursus americanus","ursusamericanus",25.6775,"DM - changed to Whitmee and Ormee 2012 only","Rogers (1987); Whitmee and Ormee (2012)","25.6775","linear km",140,"CJL","Hein_Gillooly_2011","140","km",22850000,"CJL","Swithart_etal_1988","2285","ha",100,"Hein_Gillooly_2011","",4,"","Omnivore/Herbivore/Carnivore","EOL","running","Hirt_etal","","",NA,22.85,2.69692063274017
"80","Acrocephalus scirpaceus","acrocephalusscirpaceus",11,"MG","Bulyuk_et_al_2000","Weighted average of post-fledging dispersal","",6000,"CJL","Hein_Gillooly_2011","6000","km",15700,"SDS","Andueza_etal_2015","1.57","ha",0.011,"Hein_Gillooly_2011","sds",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","38000000","IUCN (estimated extent of occurrence)",NA,0.0157,0.0706927521962861
"81","Alces alces","alcesalces",118,"CJL","Santini_2013","118","km (max)",200,"CJL","Hein_Gillooly_2011","200","km",93825308.27,"DM","Tamburello_etal","93825308.27","m2",307.22744,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,93.82530827,5.46493579070997
"82","Antilocapra americana","antilocapraamericana",54.21,"CJL - changed value","Santini_2013","54.21","km (mean)",260,"CJL","Hein_Gillooly_2011","260","km",10125348.97,"DM","Tamburello_etal","10125348.97","m2",46.0999,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,10.12534897,1.79527119907045
"83","Apodemus sylvaticus","apodemussylvaticus",0.5,"DM","Jenkins_et_al_2007","500","m",0,"SDS","Kikkawa_1964","resident","km",13052.09,"DM","Tamburello_etal","13052.09","m2",0.0212,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","11314418","IUCN (estimated extent of occurrence)",NA,0.01305209,0.064456258674861
"84","Capreolus capreolus","capreoluscapreolus",2.12,"CJL - changed value","Santini_2013","2.12","km (mean)",84,"CJL","Hein_Gillooly_2011","84","km",674636.76,"DM","Tamburello_etal","674636.76","m2",24.05027,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.67463676,0.463404305429936
"85","Cervus elaphus","cervuselaphus",20,"CJL - changed value","Santini_2013","20","km (max)",24.95,"CJL - changed source","Meisingset_etal_2018","average of male (28.8) and female (21.1) migration distances","km",74865201.87,"DM","Tamburello_etal","74865201.87","m2",234.75778,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal",">20000","IUCN (estimated extent of occurrence)",NA,74.86520187,4.88163229733316
"86","Cervus nippon","cervusnippon",1.6,"MG","Davidson_1973","1.6","km (this dispersal value is in New Zealand)",100,"CJL","Hein_Gillooly_2011","100","km",851490.88,"DM","Tamburello_etal","851490.88","m2",29.45032,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.85149088,0.520613066585286
"87","Coracias garrulus","coraciasgarrulus",0.6085,"CJL","Rodriguez_ruiz_et_al_2019","608.5","m",10000,"CJL","Hein_Gillooly_2011","10000","km",1e+06,"DM","Tamburello_etal","1000000","m2",0.103,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","19900000","IUCN (estimated extent of occurrence)",NA,1,0.564189583547756
"88","Dipodomys merriami","dipodomysmerriami",0.05,"CJL - changed value","Santini_2013","0.05","km  = mean (weighted by m/f numbers)",0,"CF-changed source","May_2004","remain in burrows year round",NA,7374.8,"DM","Tamburello_etal","7374.8","m2",0.04182,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","2472799","IUCN (estimated extent of occurrence)",NA,0.0073748,0.0484507146348557
"89","Dipodomys spectabilis","dipodomysspectabilis",0.86,"CJL - changed value","Santini_2013","0.86","km (max)",0,"CF-changed source","Cooper_2007","home ranges change in size but not location throughout the year",NA,3008.5,"DM","Tamburello_etal","3008.5","m2",0.14458,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","1168386","IUCN (estimated extent of occurrence)",NA,0.0030085,0.0309456829393687
"90","Dipodomys stephensi","dipodomysstephensi",0.037,"CJL - changed value","Santini_2013","0.037","km  = mean (weighted by m/f numbers)",0,"CF-changed source","IUCN","home ranges stable over time",NA,1480.44,"DM","Tamburello_etal","1480.44","m2",0.0762,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","9620.06","IUCN (estimated extent of occurrence)",NA,0.00148044,0.0217080327966845
"91","Fringilla coelebs","fringillacoelebs",22.6,"DM","Jenkins_et_al_2007","22600","m",5000,"CJL","Hein_Gillooly_2011","5000","km",42000,"DM","Tamburello_etal","42000","m2",0.02325,"Tamburello_etal","yes",4,"","Omnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","9660000","IUCN (estimated extent of occurrence)",NA,0.042,0.115624457705622
"92","Gulo gulo","gulogulo",55,"CJL - changed value","Santini_2013","55","km  = mean (weighted by m/f numbers)",0,"CJL - changed source","Beauvais_Johnson_2004","""non-migratory""","km",361917847.3,"DM","Tamburello_etal","361917847.3","m2",21.54567,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,361.9178473,10.7332208018817
"93","Helogale parvula","helogaleparvula",0.5,"CJL","Santini_2013","0.5","km (median)",0,"CF-changed source","Rood_1990","permanent territories","km",281838.29,"DM","Tamburello_etal","281838.29","m2",0.28184,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.28183829,0.299519471841372
"94","Lanius collurio","laniuscollurio",0.28,"MG","Pasinelli_et_al_2007","374 m and 186 m","m (breeding dispersal females and males)",11000,"CJL","Hein_Gillooly_2011","11000","km",15782.72,"DM","Tamburello_etal","15782.72","m2",0.03,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","8030000","IUCN (estimated extent of occurrence)",NA,0.01578272,0.0708787401614238
"95","Lepus americanus","lepusamericanus",7.177,"CJL - changed value","Santini_2013","7.177","km (mean)",0,"CF-changed source","O'Farrell","home ranges are year round",NA,32716.74,"DM","Tamburello_etal","32716.74","m2",1.36079,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","18525598","IUCN (estimated extent of occurrence)",NA,0.03271674,0.102049310559673
"96","Lepus californicus","lepuscalifornicus",45.061,"CJL - changed value","Santini_2013","45.061","km (max)",35,"CJL","Hein_Gillooly_2011","35","km",1592758.75,"DM","Tamburello_etal","1592758.75","m2",2.26798,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","6032346","IUCN (estimated extent of occurrence)",NA,1.59275875,0.71203290403656
"97","Lepus europaeus","lepuseuropaeus",2.057,"CJL - changed value","Santini_2013","2.057","km (median)",0,"CJL - changed source","Kunst_etal_2001","""non-migratory""","km",286615.72,"DM","Tamburello_etal","286615.72","m2",5.25001,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.28661572,0.302047375773545
"98","Lepus timidus","lepustimidus",3,"CJL","Santini_2013","3","km (median)",10,"CJL","Hein_Gillooly_2011","10","km",453241.85,"DM","Tamburello_etal","453241.85","m2",2.82501,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","52583508","IUCN (estimated extent of occurrence)",NA,0.45324185,0.379830701348944
"99","Lynx canadensis","lynxcanadensis",88,"CJL - changed value","Santini_2013","88","km (median)",0,"CJL - changed source","IUCN","""not a migrant""","km",82748475.24,"DM","Tamburello_etal","82748475.24","m2",10.20587,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,82.74847524,5.13221762355481
"100","Lynx lynx","lynxlynx",39.6,"CJL - changed value","Santini_2013","39.6","km (weighted mean of 2 studies)",0,"CF-changed source","mt.gov","desn't migrate",NA,181042275.7,"DM","Tamburello_etal","181042275.7","m2",29.99991,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","42765298","IUCN (estimated extent of occurrence)",NA,181.0422757,7.59128093094449
"101","Lynx rufus","lynxrufus",58.71,"CJL - changed value","Santini_2013","58.71","km (weighted mean of 4 studies)",0,"CF-changed source","Chamberlain_2003","yar round home ranges",NA,39877690.65,"DM","Tamburello_etal","39877690.65","m2",11.33992,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,39.87769065,3.56278867912116
"102","Macropus fuliginosus","macropusfuliginosus",85,"CJL - changed value","Santini_2013","85","km (max)",0,"CF-changed source","ADW","consistent home ranges",NA,3236532.71,"DM","Tamburello_etal","3236532.71","m2",22.12483,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,3.23653271,1.01499771356896
"103","Marmota flaviventris","marmotaflaviventris",0.95,"CJL","Santini_2013","0.95","km (average of m and f medians)",0,"CF-changed source","Armit_2009","24 of 793 marmots moved homeranges seasonally",NA,56963.94,"DM","Tamburello_etal","56963.94","m2",3.40197,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","2604302","IUCN (estimated extent of occurrence)",NA,0.05696394,0.134655802912389
"104","Marmota monax","marmotamonax",0.768,"CJL - changed value","Santini_2013","0.768","km (max)",0,"CF-changed source","Zervanos_2010","hibernate in winter",NA,165390.29,"DM","Tamburello_etal","165390.29","m2",3.40197,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","13097672","IUCN (estimated extent of occurrence)",NA,0.16539029,0.229445776569986
"105","Martes americana","martesamericana",8.137,"CJL - changed value","Santini_2013","8.137","km (weighed mean of 4 studies)",0,"CF-changed source","http://www.sibr.com/mammals/M154.html","non-migratory",NA,7066103.59,"DM","Tamburello_etal","7066103.59","m2",0.88349,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal",">2500000","IUCN (estimated extent of occurrence)",NA,7.06610359,1.49973685341655
"106","Martes pennanti","martespennanti",24.23,"CJL - changed value","Santini_2013","24.23","km (weighed mean of 5 studies)",0,"CJL - changed source","Ahlborn_2005","""non-migratory""","km",16755600.61,"DM","Tamburello_etal","16755600.61","m2",3.17519,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,16.75560061,2.30943138523537
"107","Microtus agrestis","microtusagrestis",0.0485,"CJL - changed value","Santini_2013","0.0485","km (weighted mean of m/f)",0,"CF-changed source","Erlinge_1990","year round home range",NA,700.42,"DM","Tamburello_etal","700.42","m2",0.038,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","20519421","IUCN (estimated extent of occurrence)",NA,0.00070042,0.0149315307480797
"108","Microtus ochrogaster","microtusochrogaster",0.0205,"CJL","Santini_2013","0.0205","km (average of m and f medians)",0,"CF-changed source","Getz_2005","home rnages fluctuate in size but are maintined all year",NA,674.47,"DM","Tamburello_etal","674.47","m2",0.03544,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","3901131","IUCN (estimated extent of occurrence)",NA,0.00067447,0.0146523195752202
"109","Microtus pennsylvanicus","microtuspennsylvanicus",1.2,"CJL - changed value","Santini_2013","1.2","km (max)",0,"CF-changed source","Webster_1981","colonies remain in place year round",NA,411.74,"DM","Tamburello_etal","411.74","m2",0.04961,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","22166738","IUCN (estimated extent of occurrence)",NA,0.00041174,0.0114481838095531
"110","Motacilla flava","motacillaflava",35.5,"DM","Jenkins_et_al_2007","35500","m",8000,"CJL","Hein_Gillooly_2011","8000","km",10117.13,"DM","Tamburello_etal","10117.13","m2",0.0175,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","40900000","IUCN (estimated extent of occurrence)",NA,0.01011713,0.0567484140642416
"111","Muscicapa striata","muscicapastriata",48,"DM","Jenkins_et_al_2007","48000","m",13000,"CJL","Hein_Gillooly_2011","13000","km",10000,"DM","Tamburello_etal","10000","m2",0.0128,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","20600000","IUCN (estimated extent of occurrence)",NA,0.01,0.0564189583547756
"112","Mustela erminea","mustelaerminea",5.6,"DM","Jenkins_et_al_2007","5600","m",0,"CJL - changed source","IUCN","""not a migrant""","km",1323244.2,"DM","Tamburello_etal","1323244.2","m2",0.27054,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,1.3232442,0.649000547530864
"113","Neotoma cinerea","neotomacinerea",2.2,"CJL","Santini_2013","2.2","km (max)",0,"CF-changed source","ADW","maintain the smae nests and middens trhoughout the year",NA,47616.78,"DM","Tamburello_etal","47616.78","m2",0.39548,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","4989974","IUCN (estimated extent of occurrence)",NA,0.04761678,0.12311332918185
"114","Ochotona princeps","ochotonaprinceps",0.09,"CJL","Santini_2013","0.09","km (mean)",0,"CF-changed source","Huntly_1981","switch to eating hay stocks in winter",NA,1866.34,"DM","Tamburello_etal","1866.34","m2",0.1465,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.00186634,0.024373642997719
"115","Odocoileus hemionus","odocoileushemionus",6.75,"CJL - changed value","Santini_2013","6.75","km (weighted mean of m/f)",160,"CJL","Hein_Gillooly_2011","160","km",35072764.57,"DM","Tamburello_etal","35072764.57","m2",53.86417,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,35.07276457,3.34125840042754
"116","Odocoileus virginianus","odocoileusvirginianus",11.69,"CJL - changed value","Santini_2013","11.69","km (weighted mean of 4 studies)",52,"CJL","Hein_Gillooly_2011","52","km",2488341.6,"DM","Tamburello_etal","2488341.6","m2",87.88404,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,2.4883416,0.889979624195066
"117","Oenanthe oenanthe","oenantheoenanthe",95.6,"DM","Jenkins_et_al_2007","95600","m",1400,"CJL","Hein_Gillooly_2011","1400","km",15378.03,"DM","Tamburello_etal","15378.03","m2",0.0252,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","19300000","IUCN (estimated extent of occurrence)",NA,0.01537803,0.0699641263722411
"118","Onychomys torridus","onychomystorridus",0.329,"DM","Jenkins_et_al_2007","329","m",0,"SDS - changed source","O'Farrell_1974","resident","km",25945.38,"DM","Tamburello_etal","25945.38","m2",0.022,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","1055420","IUCN (estimated extent of occurrence)",NA,0.02594538,0.0908772301228157
"119","Oryctolagus cuniculus","oryctolaguscuniculus",0.535,"CJL","Santini_2013","0.535","km (mean)",0,"CF-changed source","Kolb_1991","remain in same sets of burrows year round",NA,62999.92,"DM","Tamburello_etal","62999.92","m2",1.6,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","756308","IUCN (estimated extent of occurrence)",NA,0.06299992,0.141610371670962
"120","Otospermophilus beecheyi","otospermophilusbeecheyi",1.88,"CJL - changed value","Santini_2013","1.88","km (max)",0,"CF-changed source","ADW","may hibernate but stay in burrows year round",NA,518.84,"SDS - listed under synonym","Tamburello_etal","518.84","m2",0.72575,"Tamburello_etal","sds",4,"","Invertivore/Frugivore/Granivore","EOL","","","755384","IUCN (estimated extent of occurrence)",NA,0.00051884,0.0128511439703864
"121","Ovis canadensis","oviscanadensis",12.28,"DM","Prugh_etal","12.28","km",40,"CJL","Hein_Gillooly_2011","40","km",27544823.89,"DM","Tamburello_etal","27544823.89","m2",90.71936,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,27.54482389,2.96104538252599
"122","Phoenicurus phoenicurus","phoenicurusphoenicurus",36,"DM","Jenkins_et_al_2007","36000","m",6000,"CJL","Hein_Gillooly_2011","6000","km",4500,"DM","Tamburello_etal","4500","m2",0.01521,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","20300000","IUCN (estimated extent of occurrence)",NA,0.0045,0.0378469878303024
"123","Puma concolor","pumaconcolor",88.32,"CJL - changed value","Santini_2013","88.32","km (weighted mean of 8 studies)",50,"CJL","Hein_Gillooly_2011","50","km",312003883.7,"DM","Tamburello_etal","312003883.7","m2",89.99948,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,312.0038837,9.9656369946656
"124","Rangifer tarandus","rangifertarandus",39,"CJL - changed value and source","van_Oort_2005","39","km",1200,"CJL","Hein_Gillooly_2011","1200","km",3550830977,"DM","Tamburello_etal","3550830977","m2",102.05869,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,3550.830977,33.6194081468837
"125","Sciurus carolinensis","sciuruscarolinensis",100,"CJL - changed value","Santini_2013","100","km (max)",0,"SDS - changed source","Thompson_1977","resident","km",4900.04,"DM","Tamburello_etal","4900.04","m2",0.625,"Mace_Harvey_1983","",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","7077743","IUCN (estimated extent of occurrence)",NA,0.00490004,0.0394934320450378
"126","Sciurus niger","sciurusniger",0.6,"CJL - changed value","Santini_2013","0.6","km (median)",0,"SDS - changed source","Wassmer_Refinetti_2016","resident","km",128265.54,"DM","Tamburello_etal","128265.54","m2",0.95299,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","wallking - land","Tamburello_etal","6358940","IUCN (estimated extent of occurrence)",NA,0.12826554,0.202059865977147
"127","Sciurus vulgaris","sciurusvulgaris",0.705,"CJL - changed value","Santini_2013","0.705","km (weighted mean of 2 studies)",0,"CJL - changed source","Longru_etal_2010","""non-migratory""","km",74908.31,"DM","Tamburello_etal","74908.31","m2",0.3275,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","41257639","IUCN (estimated extent of occurrence)",NA,0.07490831,0.154415205308027
"128","Streptopelia turtur","streptopeliaturtur",30.4,"DM","Jenkins_et_al_2007","30400","m",6000,"CJL","Hein_Gillooly_2011","6000","km",63585000,"DM","Tamburello_etal","63585000","m2",0.14033,"Tamburello_etal","yes",4,"","Herbivore/Granivore","Pigot_etal_2020","flying - air","Tamburello_etal","7080000","IUCN (estimated extent of occurrence)",NA,63.585,4.49885920128607
"129","Sylvilagus floridanus","sylvilagusfloridanus",3.9,"DM","Jenkins_et_al_2007","3900","m",0,"SDS - changed source","Schribner_Warren_1990","","km",28920.11,"DM","Tamburello_etal","28920.11","m2",1.36079,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","19065866","IUCN (estimated extent of occurrence)",NA,0.02892011,0.0959455935544864
"130","Tamiasciurus hudsonicus","tamiasciurushudsonicus",0.09,"CJL - changed value","Santini_2013","0.09","km (mean)",0,"SDS - changed source","Lane_1954","","km",4753.35,"DM","Tamburello_etal","4753.35","m2",0.22396,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","18867865","IUCN (estimated extent of occurrence)",NA,0.00475335,0.0388977929642765
"131","Taxidea taxus","taxideataxus",22.82,"CJL - changed value","Santini_2013","22.82","km (weighted mean of m/f)",0,"CJL - changed source","Gonzales_1997","non-migratory","",3808816.06,"DM","Tamburello_etal","3808816.06","m2",8.61827,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,3.80881606,1.10108301528704
"132","Trichosurus vulpecula","trichosurusvulpecula",5.4,"CJL","Santini_2013","5.4","km (weighted mean of 2 studies)",0,"CF-changed source","Green_1986","generally maintained same dens over the 3 year period of study",NA,50134.88,"DM","Tamburello_etal","50134.88","m2",2.87501,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.05013488,0.126326671556873
"133","Upupa epops","upupaepops",1.41,"CJL - changed value","Botsch_etal_2012","1.41 - weighted average of 118 females, 115 males","km",5000,"CJL","Hein_Gillooly_2011","5000","km",12560000,"DM","Tamburello_etal","12560000","m2",0.067,"Tamburello_etal","yes",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","97000000","IUCN (estimated extent of occurrence)",NA,12.56,1.99949297834936
"134","Urocitellus columbianus","Urocitelluscolumbianus",1.9,"CJL - changed value","Santini_2013","1.9","km (average of m/f median values)",0,"CF-changed source","Dobson_2011","hibernate in place over the winter",NA,535.5,"SDS - listed under synonym","Tamburello_etal","535.5","m2",0.57834,"Tamburello_etal","sds",4,"","Herbivore/Granivore/Frugivore","EOL","","","663159","IUCN (estimated extent of occurrence)",NA,0.0005355,0.0130558394617665
"135","Vulpes velox","vulpesvelox",19.2,"CJL - changed value","Santini_2013","19.2","km (median)",0,"CF-changed source","Butler_2019","ranges change size but remain in place year round",NA,5495408.74,"DM","Tamburello_etal","5495408.74","m2",2.0893,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,5.49540874,1.32258947922733
"136","Prionace glauca","prionaceglauca",7870,"DM","Jenkins_et_al_2007","7871000","m",3200,"CJL","Hein_Gillooly_2011","3200","km",1.64e+12,"SDS - measured from map","Vandeperre_2014","1640000","km2",70,"Nakano_2003","yes- Hein_Gillooly_2011 had 6.7kg- clearly an order of magnitude off",4,"CF","Carnivore","EOL","","","","",NA,1640000,722.515199384357
"137","Physeter catodon","physetercatodon",4000,"CJL","Jenkins_et_al_2007","4000000","m",5000,"CJL","Hein_Gillooly_2011","5000","km",3.14e+12,"SDS - hr spanned 2000 km","Whitehead_2008","2000","km",45000,"Hein_Gillooly_2011","yes",4,"MG","Omnivore/Carnivore","EOL","","","","",NA,3140000,999.746489174682
"138","Corvus corax","corvuscorax",11.48,"DM","Jenkins_et_al_2007","11480","m",0,"MG","Heldbjerg_Fox_2008","Sedentary","",9388707,"SDS","Schoener_1968","2320","acres",1.134,"Armstrong_1965","",4,"MG","Omnivore/Omnivore","Pigot_etal_2020","","","137000000","IUCN (estimated extent of occurrence)",NA,9.388707,1.72873313631195
"139","Falcipennis canadensis","falcipenniscanadensis",1.73,"MG","Barrowclough_Schroeder_2016","The mean distance dispersed by females (2.33 km) was twice that of males (1.13 km)","",3.98,"CJL - changed value","Herzog_Keppie_1980","mean of distances in Table 2","km",227000,"CJL - values was 118289.61 from an unfindable citation","Lycke_et_al_2011","22.7","ha",0.456,"Zammuto_1986","",4,"SDS","Herbivore","Pigot_etal_2020","","","11000000","IUCN (estimated extent of occurrence)",NA,0.227,0.268805402035972
"140","Lagopus leucura","Lagopus leucura",29,"DM","Jenkins_et_al_2007","29000","m",5.47,"CJL - changed value","Hoffman_1975","weighted mean of age/sex classes: ((16*6.8)+(6.5*17)+(1.4*6)+(3.1*6))/(16+17+6+6)","km",10300,"MG - value was 2400000","Giesen_Braun_1992","1.03","Km2",0.3875,"EOL","",4,"SDS","Herbivore/Herbivore terrestrial","Pigot_etal_2020","","","4550000","IUCN (estimated extent of occurrence)",NA,0.0103,0.0572589890558072
"141","Falco tinnunculus","falcotinnunculus",158.8,"DM ","Jenkins_et_al_2007","158800","m",2125.3,"CJL","Holte_etal_2016","mean of largest migratory distances reported for three adults","km",3e+06,"DM","makarieva_etal_2005","300","ha",0.2,"makarieva_etal_2005","yes",4,"SDS","Carnivore/Vertivore","Pigot_etal_2020","","","106000000","IUCN (estimated extent of occurrence)",NA,3,0.97720502380584
"142","Recurvirostra americana","recurvirostraamericana",19.4,"DM","Jenkins_et_al_2007","19400","m",1703.2,"CF","Horton_2018","1703.2","km",20700000,"SDS","Ackerman_2007","207.3","ha",0.362,"EOL","",4,"CF","Carnivore/Aquatic predator","Pigot_etal_2020","","","8870000","IUCN (estimated extent of occurrence)",NA,20.7,2.56690760332437
"143","Seiurus aurocapilla","seiurusaurocapilla",0.618,"CJL","Jenkins_et_al_2017","618","m",3206.4,"CF","Horton_2018","3206.4","km",1,"DM","Armstrong_1965","1","ha",0.0189,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","9010000","IUCN (estimated extent of occurrence)",NA,1e-06,0.000564189583547756
"144","Tyrannus tyrannus","tyrannustyrannus",0.202,"MG","Murphy_1996","202","m, Dispersal patterns of adult male and female Eastern Kingbirds took the average from a plot",7071.6,"CF","Horton_2018","7071.6","km",70.3921,"DM","Armstrong_1965","8.39","ha",0.046,"Armstrong_1965","yes",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","5290000","IUCN (estimated extent of occurrence)",NA,7.03921e-05,0.00473355060596567
"145","Bucephala albeola","bucephalaalbeola",4.5,"DM","Jenkins_et_al_2007","4500","m",2110.2,"CF","Horton_2018","2110.2","km",5600,"SDS","Bowman_2003","0.56","ha",0.39719,"EOL","",4,"CF","Carnivore/Aquatic predator","Pigot_etal_2020","","","11000000","IUCN (estimated extent of occurrence)",NA,0.0056,0.0422200824564475
