A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
A,Mammals,Spermophilusleucopus,1.92E+02,5.15E+02,2.283,2.711807229
A,Mammals,Tamiasciurushudsonicus,2.04E+02,6.00E+02,2.31,2.77815125
A,Mammals,Marmotamonax,3.49E+03,7.68E+02,3.542,2.88536122
A,Mammals,Peromyscuscalifornicus,1.80E+01,7.91E+02,1.255,2.898176483
A,Mammals,Microtusxanthognathus,1.42E+02,8.00E+02,2.151,2.903089987
A,Mammals,Perognathusformosus,2.30E+01,8.53E+02,1.362,2.930949031
A,Mammals,Scapanustownsendii,1.48E+02,8.56E+02,2.17,2.932473765
A,Mammals,Sorexaraneus,4.00E+00,8.69E+02,0.602,2.939019776
A,Mammals,Spermophilusrichardsonii,4.05E+02,9.75E+02,2.607,2.989004616
A,Mammals,Microtusoeconomus,3.20E+01,1.00E+03,1.505,3
A,Mammals,Peromyscusmaniculatus,2.65E+01,1.32E+03,1.423,3.120573931
A,Mammals,Marmotaflaviventris,5.45E+03,1.40E+03,3.736,3.146128036
A,Mammals,Spermophilusbeecheyi,4.75E+02,1.44E+03,2.677,3.158362492
A,Mammals,Musmusculus,1.65E+01,1.50E+03,1.217,3.176091259
A,Mammals,Dipodomysspectabilis,1.15E+02,2.00E+03,2.061,3.301029996
A,Mammals,Neotomacinerea,4.20E+02,2.20E+03,2.623,3.342422681
A,Mammals,Ondatrazibethicus,1.05E+03,3.37E+03,3.02,3.527629901
A,Mammals,Sciurusniger,7.90E+02,3.37E+03,2.898,3.527629901
A,Mammals,Sylvilagusfloridanus,1.10E+03,3.90E+03,3.041,3.591064607
A,Mammals,Helogaleparvula,3.50E+02,5.00E+03,2.544,3.698970004
A,Mammals,Didelphisvirginianus,1.99E+03,5.15E+03,3.299,3.711975854
A,Mammals,Mustelaerminea,8.00E+01,5.60E+03,1.903,3.748188027
A,Mammals,Phascogaletapoatafa,1.99E+02,6.80E+03,2.299,3.832508913
A,Mammals,Odocoileushemionushemionus,5.18E+04,8.22E+03,4.714,3.914871818
A,Mammals,Melesmeles,1.16E+04,8.30E+03,4.064,3.919078092
A,Mammals,Lepuseuropaeus,4.50E+03,9.00E+03,3.653,3.954242509
A,Mammals,Pteromysvolans,1.06E+02,9.00E+03,2.025,3.954242509
A,Mammals,Lynxlynx,1.02E+04,9.70E+03,4.006,3.986771734
A,Mammals,Gazellagazella,2.33E+04,1.21E+04,4.366,4.08278537
A,Mammals,Trichosurusvulpecula,2.93E+03,1.28E+04,3.467,4.10720997
A,Mammals,Odocoileushemionuscolumbianus,6.46E+04,1.52E+04,4.81,4.181843588
A,Mammals,Cervuscanadensis,3.15E+05,1.85E+04,5.498,4.267171728
A,Mammals,Lepusamericanus,1.43E+03,2.01E+04,3.155,4.303196057
A,Mammals,Mephitismephitis,2.64E+03,2.17E+04,3.422,4.336459734
A,Mammals,Martespennanti,3.70E+03,2.30E+04,3.568,4.361727836
A,Mammals,Equuscaballus,1.15E+06,2.40E+04,6.061,4.380211242
A,Mammals,Corynorhinustownsendiiingens,1.00E+01,3.00E+04,1,4.477121255
A,Mammals,Castorcanadensis,2.03E+04,4.06E+04,4.306,4.608526034
A,Mammals,Odocoileusvirginianus,1.07E+05,4.06E+04,5.029,4.608526034
A,Mammals,Lutracanadensis,9.07E+03,4.20E+04,3.958,4.62324929
A,Mammals,Lepuscalifornicus,2.20E+03,4.50E+04,3.342,4.653212514
A,Mammals,Mustelafuro,6.75E+02,4.50E+04,2.829,4.653212514
A,Mammals,Plecotustownsendi,1.00E+01,4.50E+04,1,4.653212514
A,Mammals,Mustelavison,1.23E+03,4.51E+04,3.088,4.654176542
A,Mammals,Myotisbechsteinii,1.00E+01,6.00E+04,1,4.77815125
A,Mammals,Martesamericana,1.04E+03,6.10E+04,3.017,4.785329835
A,Mammals,Myotisnattereri,9.25E+00,6.30E+04,0.966,4.799340549
A,Mammals,Urocyoncinereoargenteus,3.90E+03,8.37E+04,3.591,4.922621672
A,Mammals,Taxideataxus,7.80E+03,1.10E+05,3.892,5.041392685
A,Mammals,Alcesalces,4.82E+05,1.18E+05,5.683,5.071882007
A,Mammals,Ursusarctos,3.31E+05,1.34E+05,5.52,5.127104798
A,Mammals,Lynxrufus,9.60E+03,1.82E+05,3.982,5.260071388
A,Mammals,Lepustimidus,2.75E+03,2.00E+05,3.439,5.301029996
A,Mammals,Ursusamericanus,1.52E+05,2.19E+05,5.182,5.340444115
A,Mammals,Ursusamericanus,1.30E+05,2.25E+05,5.114,5.352182518
A,Mammals,Canislatrans,1.41E+04,2.32E+05,4.148,5.365862215
A,Mammals,Procyonlotor,8.10E+03,2.66E+05,3.908,5.424064525
A,Mammals,Felisconcolor,6.16E+04,2.74E+05,4.79,5.437750563
A,Mammals,Gulogulo,1.44E+04,3.00E+05,4.158,5.477121255
A,Mammals,Vulpesvulpes,5.20E+03,3.95E+05,3.716,5.596047008
A,Mammals,Myotislucifugus,8.00E+00,4.32E+05,0.903,5.635483747
A,Mammals,Phocavitulina,1.15E+05,5.00E+05,5.061,5.698970004
A,Mammals,Lagenorhynchusobscurus,1.00E+05,7.50E+05,5,5.875061263
A,Mammals,Canislupus,2.90E+04,8.86E+05,4.462,5.947433722
A,Mammals,Tursiopstruncatus,1.75E+05,1.00E+06,5.243,6
A,Mammals,Physetermacrocephalus,2.63E+07,4.00E+06,7.42,6.602059991
A,Protista,Loxodes,7.00E-06,7.00E+00,-5.155,0.84509804
A,Protista,Spirostomum,3.00E-03,7.00E+00,-2.523,0.84509804
A,Reptile,Apolonespinifera,2.05E+03,3.00E+00,3.312,0.477121255
A,Reptile,Nerodiasipedon,1.71E+02,6.00E+00,2.233,0.77815125
A,Reptile,Sternotherusodoratus,3.21E+02,1.10E+01,2.506,1.041392685
A,Reptile,Nerodiaharteri,4.45E+02,1.50E+01,2.649,1.176091259
A,Reptile,Macroclemystemminicki,3.88E+02,2.20E+01,2.589,1.342422681
A,Reptile,Opheodrysaestivus,3.29E+01,2.60E+01,1.517,1.414973348
A,Reptile,Oxybelisaeneus,1.40E+02,4.20E+01,2.146,1.62324929
A,Reptile,Thamnophisordinoides,4.62E+01,4.30E+01,1.665,1.633468456
A,Reptile,Spilotespullatus,3.55E+01,4.50E+01,1.55,1.653212514
A,Reptile,Carphophisamoenus,5.52E+00,4.90E+01,0.742,1.69019608
A,Reptile,Kinosternonbaurii,1.35E+02,4.90E+01,2.13,1.69019608
A,Reptile,Niveoscincusmicrolepidotus,5.00E+00,5.24E+01,0.699,1.719331287
A,Reptile,Lacertaagilis,2.00E+01,5.63E+01,1.301,1.750508395
A,Reptile,Coronellaaustriaca,4.81E+01,6.70E+01,1.682,1.826074803
A,Reptile,Podocnemisunifilis,4.50E+03,8.00E+01,3.653,1.903089987
A,Reptile,Apalonemutica,8.19E+02,9.00E+01,2.913,1.954242509
A,Reptile,Thamnophissauritus,4.71E+01,9.40E+01,1.673,1.973127854
A,Reptile,Gloydiusshedaoensis,3.00E+02,1.00E+02,2.477,2
A,Reptile,Lacertavivipara,1.31E+00,1.00E+02,0.117,2
A,Reptile,Natrixnatrix,1.44E+02,1.14E+02,2.158,2.056904851
A,Reptile,Thamnophisbutleri,4.79E+01,1.30E+02,1.681,2.113943352
A,Reptile,Heterodonnasicus,2.15E+02,1.55E+02,2.332,2.190331698
A,Reptile,Acrochordusarafurae,1.03E+03,1.66E+02,3.015,2.220108088
A,Reptile,Chelydraserpentina,1.60E+04,1.83E+02,4.204,2.26245109
A,Reptile,Deirochelysreticularia,1.04E+03,1.92E+02,3.017,2.283301229
A,Reptile,Storeriadekayi,6.89E+00,1.97E+02,0.838,2.294466226
A,Reptile,Heterodonplatyrhinos,3.49E+01,2.44E+02,1.543,2.387389826
A,Reptile,Clemmysmuhlenbergii,1.13E+02,2.50E+02,2.053,2.397940009
A,Reptile,Nerodiarhombifera,2.26E+02,2.50E+02,2.354,2.397940009
A,Reptile,Pseudemysrubriventris,3.48E+03,2.50E+02,3.541,2.397940009
A,Reptile,Clemmysguttata,1.65E+02,2.65E+02,2.217,2.423245874
A,Reptile,Pseudemysfloridana,3.92E+03,2.86E+02,3.593,2.456366033
A,Reptile,Pituophismelanoleucus,3.97E+01,3.07E+02,1.598,2.487138375
A,Reptile,Elapheobsoleta,4.25E+01,3.88E+02,1.628,2.588831726
A,Reptile,Stegonotuscucullatus,6.33E+02,4.00E+02,2.801,2.602059991
A,Reptile,Clemmysmarmorata,1.20E+03,4.23E+02,3.079,2.626340367
A,Reptile,Kinosternonflavescens,2.71E+02,4.50E+02,2.433,2.653212514
A,Reptile,Lampropeltistriangulum,2.03E+02,5.00E+02,2.307,2.698970004
A,Reptile,Crotalusviridis,1.73E+02,5.60E+02,2.239,2.748188027
A,Reptile,Clemmysinsculpta,1.23E+03,6.00E+02,3.091,2.77815125
A,Reptile,Kinosternonleucostomum,2.32E+02,6.00E+02,2.366,2.77815125
A,Reptile,Kinosternonsubrubrum,1.33E+02,6.00E+02,2.124,2.77815125
A,Reptile,Chrysemyspicta,5.75E+01,6.21E+02,1.76,2.7930916
A,Reptile,Agkistrodoncontortrix,2.62E+03,6.60E+02,3.418,2.819543936
A,Reptile,Gopheruspolyphemus,4.00E+03,7.40E+02,3.602,2.86923172
A,Reptile,Geocheloneyniphora,2.04E+03,7.46E+02,3.31,2.872738827
A,Reptile,Sceloporuswoodi,2.50E+01,7.50E+02,1.398,2.875061263
A,Reptile,Hoplocephalusbungaroides,5.10E+01,9.00E+02,1.708,2.954242509
A,Reptile,Nerodiaerythrogaster,2.62E+02,1.00E+03,2.419,3
A,Reptile,Emydoideablandingi,1.15E+03,1.12E+03,3.061,3.047274867
A,Reptile,Graptemyspseudogeographica,1.60E+03,1.13E+03,3.204,3.05422991
A,Reptile,Viperaberus,3.77E+01,1.30E+03,1.576,3.113943352
A,Reptile,Iguanaiguana,7.00E+03,1.41E+03,3.845,3.149219113
A,Reptile,Trachemysscripta,2.35E+02,1.60E+03,2.372,3.204119983
A,Reptile,Varanusvarius,4.65E+03,1.80E+03,3.667,3.255272505
A,Reptile,Coluberconstrictor,8.82E+01,2.29E+03,1.946,3.359835482
A,Reptile,Masticophistaeniatus,2.10E+03,4.00E+03,3.322,3.602059991
A,Reptile,Crotalushorridus,6.60E+02,4.07E+03,2.82,3.609594409
A,Reptile,Thamnophissirtalis,8.00E+01,8.30E+03,1.903,3.919078092
A,Reptile,Crocodylusintermedius,1.15E+04,1.16E+04,4.061,4.064457989
A,Reptile,Liasisfuscus,5.00E+03,1.20E+04,3.699,4.079181246
A,Reptile,Crocodylusjohnstonii,5.30E+04,3.72E+04,4.724,4.57054294
A,Reptile,Carettacaretta,1.13E+05,1.46E+06,5.053,6.163757524
A,Reptile,Eretmochelysimbricata,8.00E+04,2.93E+06,4.903,6.46612587
A,Reptile,Cheloniamydas,1.50E+05,5.20E+06,5.176,6.716003344
A,Reptile,Dermochelyscoriacea,7.00E+05,6.88E+06,5.845,6.837462171
P,Insect,Gumagagriseola,5.50E-03,4.36E+02,-2.26,2.639486489
P,Mollusca,Helisomatrivolis,2.50E-03,1.00E+04,-2.602,4
P,Mollusca,Lynnaeastagnalis,2.50E-03,1.00E+04,-2.602,4
P,Mollusca,Stagincolaelodes,2.50E-03,1.00E+04,-2.602,4
P,Mollusca,Gaimardiatrapesina,6.00E-03,2.00E+06,-2.222,6.301029996
P,Mollusca,Baleaspp,7.00E+00,9.00E+06,0.845,6.954242509
P,Monera,Pseudomonasrhizobium,2.00E-09,2.00E-02,-8.699,-1.698970004
P,Monera,Anabaena,1.00E-09,3.20E+01,-9,1.505149978
P,Monera,coliformbacteria,2.00E-14,1.20E+03,-13.699,3.079181246
P,Plant,Andropogonscoparius,8.98E-04,0.11,-3.047,-0.958607315
P,Plant,Andropogongerardi,3.15E-03,0.19,-2.502,-0.721246399
P,Plant,Sorghastrumnutans,1.46E-03,0.24,-2.836,-0.619788758
P,Plant,Festucaparadoxa,1.00E-04,0.29,-4,-0.537602002
P,Plant,Setariageniculata,2.17E-03,0.39,-2.664,-0.408935393
P,Plant,Sphenopholisobtusata,1.34E-03,0.46,-2.872,-0.337242168
P,Plant,Artemesiaherba-alba,1.34E-04,0.5,-3.873,-0.301029996
P,Plant,Hypericumgentianoides,4.16E-04,0.5,-3.381,-0.301029996
P,Plant,Trifoliumarvense,3.90E-04,0.75,-3.409,-0.124938737
P,Plant,Vulpiafasciculata,2.49E-03,0.921,-2.604,-0.03574037
P,Plant,Achilleamoschata,3.33E-04,1,-3.478,0
P,Plant,Agrostisrupestris,6.90E-05,1,-4.161,0
P,Plant,Arabisalpina,2.40E-04,1,-3.62,0
P,Plant,Cardamineresedifolia,1.80E-04,1,-3.745,0
P,Plant,Carexfrigida,1.17E-03,1,-2.932,0
P,Plant,Cerastiumarvense,3.00E-04,1,-3.523,0
P,Plant,Cerastiumpedunculatum,4.00E-04,1,-3.398,0
P,Plant,Poaalpina,4.00E-03,1,-2.398,0
P,Plant,Sempervivumsp,7.69E-05,1,-4.114,0
P,Plant,Abutilontheophrasti,9.58E-03,1.04,-2.018,0.017033339
P,Plant,Gentianellagermanica,1.80E-04,1.1,-3.745,0.041392685
P,Plant,Vulpiaciliata,5.50E-04,1.1,-3.26,0.041392685
P,Plant,Carlinavulgaris,1.53E-03,1.47,-2.815,0.167317335
P,Plant,Physalissubglabrata,1.35E-03,1.47,-2.87,0.167317335
P,Plant,Dipsacussylvestris,1.70E-03,1.5,-2.77,0.176091259
P,Plant,Phloxdrummondii,4.71E-04,1.5,-3.327,0.176091259
P,Plant,Violaspp.,1.33E-03,1.5,-2.876,0.176091259
P,Plant,Centaureascabiosa,7.50E-03,1.56,-2.125,0.193124598
P,Plant,Geraniumpurpureum,5.35E-03,1.6,-2.272,0.204119983
P,Plant,Trilliumovatum,9.75E-03,1.8,-2.011,0.255272505
P,Plant,Oenotherabiennis,2.90E-04,1.83,-3.538,0.26245109
P,Plant,Acaciaterminalis,2.38E-02,1.9,-1.623,0.278753601
P,Plant,Acaciacyclops,2.38E-02,2,-1.623,0.301029996
P,Plant,Carexpilulifera,1.67E-03,2,-2.778,0.301029996
P,Plant,Mirabilishirsuta,6.66E-02,2,-1.177,0.301029996
P,Plant,Violacucullata,1.33E-03,2.1,-2.876,0.322219295
P,Plant,Aristidacongesta,4.83E-04,2.31,-3.316,0.36361198
P,Plant,Rumexobtusifolius,1.24E-03,2.48,-2.908,0.394451681
P,Plant,Seneciosqualidus,2.10E-04,2.53,-3.678,0.403120521
P,Plant,Senecioviscosus,6.00E-04,2.57,-3.222,0.409933123
P,Plant,Trilliumtschonoskii,9.75E-03,2.7,-2.011,0.431363764
P,Plant,Geraniummolle,1.15E-03,2.8,-2.939,0.447158031
P,Plant,Dendromeconrigida,1.60E-02,2.9,-1.796,0.462397998
P,Plant,Carexsp.,1.17E-03,3,-2.932,0.477121255
P,Plant,Panicummiliaceum,3.33E-03,3,-2.478,0.477121255
P,Plant,Hieraciumumbellatum,1.66E-03,3.03,-2.78,0.481442629
P,Plant,Asterprenantoides,2.00E-03,3.11,-2.699,0.492760389
P,Plant,Caryaglabra,2.67E+00,3.162,0.427,0.5
P,Plant,Clematisvirginiana,2.00E-02,3.23,-1.699,0.509202522
P,Plant,Setariaverticillata,2.17E-03,3.28,-2.664,0.515873844
P,Plant,Violastriata,1.33E-03,3.3,-2.876,0.51851394
P,Plant,Impatienscapensis,1.00E-02,3.5,-2,0.544068044
P,Plant,Scabiosacolumbaria,1.26E-03,3.5,-2.9,0.544068044
P,Plant,Phloxpilosa,4.71E-04,3.6,-3.327,0.556302501
P,Plant,Erigeronacer,3.33E-04,3.61,-3.478,0.557507202
P,Plant,Violablanda,1.33E-03,3.8,-2.876,0.579783597
P,Plant,Achilleanana,3.33E-04,4,-3.478,0.602059991
P,Plant,Geumreptans,2.22E-03,4,-2.654,0.602059991
P,Plant,Solidagoaplestris,5.88E-05,4,-4.231,0.602059991
P,Plant,Violarostrata,1.33E-03,4.2,-2.876,0.62324929
P,Plant,Geraniumcarolinianum,3.50E-03,4.25,-2.456,0.62838893
P,Plant,Pinusrigida,7.30E-03,4.472,-2.137,0.650514998
P,Plant,Geraniummaculata,7.20E-03,4.55,-2.143,0.658011397
P,Plant,Violapapilionacea,1.33E-03,4.8,-2.876,0.681241237
P,Plant,Violapedata,1.33E-03,5.1,-2.876,0.707570176
P,Plant,Asteracuminatus,2.00E-03,5.25,-2.699,0.720159303
P,Plant,Violaeriocarpa,1.33E-03,5.4,-2.876,0.73239376
P,Plant,Tragopogonporrifolius,6.80E-03,5.77,-2.167,0.761175813
P,Plant,Trifoliumpallescens,4.40E-04,6,-3.356,0.77815125
P,Plant,Sonchusoleraceus,3.43E-04,6.56,-3.465,0.816903839
P,Plant,Alnuscrispa,3.54E-04,6.65,-3.451,0.822821645
P,Plant,Cirsiumpalustre,2.00E-03,6.81,-2.699,0.833147112
P,Plant,Bromusinermis,3.18E-03,7,-2.498,0.84509804
P,Plant,Eupatoriumrugosum,3.57E-04,7.1,-3.447,0.851258349
P,Plant,Cenchrusciliaris,2.15E-03,7.26,-2.668,0.860936621
P,Plant,Andropogonlongiberbis,1.93E-03,7.35,-2.715,0.866287339
P,Plant,Eupatoriumcannabinum,3.57E-04,7.81,-3.447,0.892651034
P,Plant,Panicummaximum,3.33E-03,7.95,-2.478,0.900367129
P,Plant,Andropogonvirginicus,5.67E-04,8.6,-3.246,0.934498451
P,Plant,Astrocaryummexicanum,1.43E+01,9,1.155,0.954242509
P,Plant,Liatriscylindrica,3.33E-03,9,-2.478,0.954242509
P,Plant,Liatrisaspera,3.33E-03,9.5,-2.478,0.977723605
P,Plant,Hieraciummurorum,1.66E-03,10,-2.78,1
P,Plant,Silenerupestris,5.00E-04,10,-3.301,1
P,Plant,Trifoliumdubium,3.20E-04,10,-3.495,1
P,Plant,Eragrostisrigidior,6.43E-05,10.19,-4.192,1.008174184
P,Plant,Andropogongyrans,1.93E-03,10.3,-2.715,1.012837225
P,Plant,Sequoiadendrongiganteum,5.00E-03,10.488,-2.301,1.020696343
P,Plant,Acaciasuaveolens,1.10E-02,10.75,-1.959,1.031408464
P,Plant,Agrostishiemalis,6.90E-05,11,-4.161,1.041392685
P,Plant,Cirsiumarvense,1.20E-03,11.35,-2.921,1.054995862
P,Plant,Acerpalmatum,1.60E-02,11.6,-1.796,1.064457989
P,Plant,Castaneadentata,3.46E+00,11.874,0.539,1.074609556
P,Plant,Linariaalpina,2.22E-04,12,-3.654,1.079181246
P,Plant,Rumexscutatus,1.81E-03,12,-2.743,1.079181246
P,Plant,Nyssasylvatica,5.80E-01,12.166,-0.237,1.085130858
P,Plant,Fagussilvatica,2.25E-02,13,-1.648,1.113943352
P,Plant,Verbascumthapsus,6.40E-05,13,-4.194,1.113943352
P,Plant,Andropogonglomeratus,2.21E-03,13.8,-2.656,1.139879086
P,Plant,Solidagoaltissima,5.88E-05,14.9,-4.231,1.173186268
P,Plant,Tiliaamericana,9.52E-02,15,-1.021,1.176091259
P,Plant,Sporobolusairoides,1.02E-04,15.2,-3.991,1.181843588
P,Plant,Albizziajulibrissum,4.35E-02,16.2,-1.362,1.209515015
P,Plant,Catalpabignonioides,2.21E-02,16.8,-1.656,1.225309282
P,Plant,Plantagoaristata,2.00E-04,18,-3.699,1.255272505
P,Plant,Asclepiassyriaca,4.44E-03,18.1,-2.353,1.257678575
P,Plant,Carpinuscaroliniana,1.51E-02,19.4,-1.821,1.28780173
P,Plant,Abiesconcolor,2.98E-02,23.495,-1.526,1.370969539
P,Plant,Vitisvulpina,2.19E-02,24,-1.66,1.380211242
P,Plant,Artemesiafrigida,9.99E-05,25,-4,1.397940009
P,Plant,Poapratensis,2.50E-04,25,-3.602,1.397940009
P,Plant,Populusgrandidentata,1.50E-04,25,-3.824,1.397940009
P,Plant,Quercusserrata,1.46E+00,28,0.164,1.447158031
P,Plant,Acergriseum,1.95E-01,29.2,-0.71,1.465382851
P,Plant,Cirsiumspinosissimum,1.66E-03,30,-2.78,1.477121255
P,Plant,Carexextensa,1.17E-03,31,-2.932,1.491361694
P,Plant,Cryptanthaflava,1.10E-02,31.3,-1.959,1.495544338
P,Plant,Phytolaccaamericana,7.42E-03,33,-2.13,1.51851394
P,Plant,Asarumcanadense,1.37E+01,35,1.137,1.544068044
P,Plant,Capsellabursa-pastoris,1.00E-04,35,-4,1.544068044
P,Plant,Ranunculusscleratus,1.60E-04,35,-3.796,1.544068044
P,Plant,Seneciojacobaea,5.00E-05,36,-4.301,1.556302501
P,Plant,Plantagomajor,2.00E-04,38,-3.699,1.579783597
P,Plant,Daturadiscolor,1.43E-02,39,-1.845,1.591064607
P,Plant,Pinuscontorta,4.83E-03,40,-2.316,1.602059991
P,Plant,Saxifragasp,5.55E-05,40,-4.256,1.602059991
P,Plant,Fraxinusexcelsior,4.92E-02,40.3,-1.308,1.605305046
P,Plant,Cornuscontroversa,6.66E-03,42.5,-2.177,1.62838893
P,Plant,Huracrepitans,1.02E+00,45,0.009,1.653212514
P,Plant,Solidagomissouriensis,5.88E-05,45,-4.231,1.653212514
P,Plant,Quercusmuehlenbergii,1.13E+00,45.3,0.055,1.656098202
P,Plant,Acercappadocicum,5.00E-02,48.2,-1.301,1.683047038
P,Plant,Cavillesiaplatanifolia,4.12E-01,50,-0.385,1.698970004
P,Plant,Epilobiumfleischeri,3.70E-04,50,-3.432,1.698970004
P,Plant,Juglanscinerea,1.51E+01,50,1.18,1.698970004
P,Plant,Poanemoralis,2.00E-04,50,-3.699,1.698970004
P,Plant,Prunusserotina,9.45E-02,50,-1.025,1.698970004
P,Plant,Violaodorata,1.33E-03,50,-2.876,1.698970004
P,Plant,Vouacopouaamericana,4.82E+01,50,1.683,1.698970004
P,Plant,Acerplatanoides,1.72E-01,50.3,-0.765,1.701567985
P,Plant,Atriplexpatula,1.48E-03,55,-2.83,1.740362689
P,Plant,Pinuslambertiana,2.33E-01,57.1,-0.633,1.756636108
P,Plant,Pinusponderosa,6.87E-02,58,-1.163,1.763427994
P,Plant,Acerpseudoplatanus,3.06E-02,60.1,-1.514,1.778874472
P,Plant,Agrostisstolonifera,2.00E-05,61,-4.699,1.785329835
P,Plant,Lonchocarpuspentaphylius,5.10E-02,62,-1.292,1.792391689
P,Plant,Platanusoccidentalis,2.36E-03,62.8,-2.627,1.797959644
P,Plant,Betulapopulifolia,1.07E-04,64.1,-3.972,1.80685803
P,Plant,Sanguinariacanadensis,1.27E-02,67,-1.896,1.826074803
P,Plant,Chamaecyperisthyoides,1.50E-03,68.8,-2.824,1.837588438
P,Plant,Alnusviridis,3.54E-04,70,-3.451,1.84509804
P,Plant,Fraxinusamericana,4.53E-02,70.71,-1.344,1.849480837
P,Plant,Pinusjeffreyii,1.95E-01,74.1,-0.709,1.869818208
P,Plant,Caryacordiformis,2.91E+00,75,0.464,1.875061263
P,Plant,Ficusstupenda,1.75E-04,75,-3.757,1.875061263
P,Plant,Ficussubtecta,1.75E-04,75,-3.757,1.875061263
P,Plant,Fraxinusspp,4.41E-02,75,-1.356,1.875061263
P,Plant,Hieraciumstaticifolium,1.66E-03,75,-2.78,1.875061263
P,Plant,Quercusvelutina,3.09E+00,75,0.49,1.875061263
P,Plant,Larixlaricina,1.58E-03,80,-2.801,1.903089987
P,Plant,Callunavulgaris,2.30E-05,81,-4.638,1.908485019
P,Plant,Ericacinerea,5.90E-05,81,-4.229,1.908485019
P,Plant,Apocynumcannabinum,9.07E-04,83.3,-3.042,1.920645001
P,Plant,Betulalenta,7.02E-04,85,-3.154,1.929418926
P,Plant,Erigeronangulosus,3.33E-04,85,-3.478,1.929418926
P,Plant,Bombacopsissessilis,4.62E-01,88,-0.335,1.944482672
P,Plant,Lonchocarphuspentaphyllus,1.43E-01,93,-0.845,1.968482949
P,Plant,Cochlospermumvitifolium,2.48E-02,96,-1.606,1.982271233
P,Plant,Acersaccharinum,3.24E-01,100,-0.489,2
P,Plant,Caryaovata,4.54E+00,100,0.657,2
P,Plant,Juncusbufonius,2.00E-05,100,-4.699,2
P,Plant,Populusdeltoides,9.70E-04,100,-3.013,2
P,Plant,Salixspp,1.25E-04,100,-3.902,2
P,Plant,Stipacomatat,3.30E-03,100,-2.481,2
P,Plant,Acaciaholosericea,1.15E-02,103.8,-1.939,2.016197354
P,Plant,Acaciasuaveolens,3.58E-02,109,-1.446,2.037426498
P,Plant,Ailanthusaltissima,3.33E-02,111.6,-1.478,2.047664195
P,Plant,Liriodendrontulipifera,3.24E-02,111.9,-1.489,2.048830087
P,Plant,Dalbergiaretusa,2.48E-01,117,-0.606,2.068185862
P,Plant,Platypodiumelegans,1.64E+00,137,0.215,2.136720567
P,Plant,Pseudobombaxseptenatum,8.69E-02,139,-1.061,2.1430148
P,Plant,Aperaspica-venti,1.20E-04,140,-3.921,2.146128036
P,Plant,Cordiaalliodora,6.25E-02,140,-1.204,2.146128036
P,Plant,Tachigaliaversicolor,1.42E+00,141,0.153,2.149219113
P,Plant,Trichospermummexicanum,2.96E-03,147,-2.529,2.167317335
P,Plant,Eucalyptusregnans,3.33E-03,150,-2.478,2.176091259
P,Plant,Acernegundo,3.84E-02,151,-1.416,2.178976947
P,Plant,Acernigrum,1.08E-01,151,-0.967,2.178976947
P,Plant,Acersaccharum,7.40E-02,151,-1.131,2.178976947
P,Plant,Cornusflorida,1.01E-01,151,-0.997,2.178976947
P,Plant,Juglansnigra,1.13E+01,151,1.055,2.178976947
P,Plant,Quercusalba,3.02E+00,151,0.481,2.178976947
P,Plant,Quercusmacrocarpa,6.05E+00,151,0.782,2.178976947
P,Plant,Quercusrubra,2.59E+00,151,0.413,2.178976947
P,Plant,Sassafrasalbidum,9.10E-02,151,-1.041,2.178976947
P,Plant,Myroxylonbalsamum,7.49E-01,159,-0.126,2.201397124
P,Plant,Vataireaerythrocarpa,1.18E+00,176,0.072,2.245512668
P,Plant,Acacialigulata,3.70E-02,180,-1.432,2.255272505
P,Plant,Poaannua,2.60E-04,180,-3.585,2.255272505
P,Plant,Lueheaspeciosa,4.95E-03,181,-2.305,2.257678575
P,Plant,Astroniumgraveolans,4.75E-02,184,-1.323,2.264817823
P,Plant,Platymisciumpinnatum,4.62E-01,191,-0.335,2.281033367
P,Plant,Lafoensiapunicifolia,3.80E-02,192,-1.42,2.283301229
P,Plant,Lithospermumcaroliniense,5.66E-03,199,-2.247,2.298853076
P,Plant,Caseariacorymbosa,1.65E-03,200,-2.783,2.301029996
P,Plant,Piceaengelmannii,6.66E-03,200,-2.177,2.301029996
P,Plant,Zosteramarina,8.00E-03,200,-2.097,2.301029996
P,Plant,Triplariscumingiana,7.67E-02,211,-1.115,2.324282455
P,Plant,Tabebuiaguayacan,3.57E-02,223,-1.447,2.348304863
P,Plant,Cavanillesiaplatanifolia,3.06E+00,224,0.485,2.350248018
P,Plant,Ochromapyramidale,1.48E-02,228,-1.83,2.357934847
P,Plant,Courataripanamensis,2.36E-01,229,-0.627,2.359835482
P,Plant,Lonchocarpusvelutinus,1.27E-01,239,-0.896,2.378397901
P,Plant,Tabebuiarosea,1.43E-02,246,-1.845,2.390935107
P,Plant,Daturawrightii,1.50E-02,251.9,-1.824,2.401228167
P,Plant,Aspidospermacruenata,8.71E-01,258,-0.06,2.411619706
P,Plant,Pterocarpusrohrii,3.37E-01,268,-0.472,2.428134794
P,Plant,Terminaliaoblonga,5.43E-02,276,-1.265,2.440909082
P,Plant,Ceibapentandra,7.41E-02,314,-1.13,2.496929648
P,Plant,Bombacopsisquinata,3.29E-02,324,-1.483,2.51054501
P,Plant,Terminaliaamazonica,4.07E-03,335,-2.39,2.525044807
P,Plant,Holcuslanatus,3.20E-04,340,-3.495,2.531478917
